code,Intermediate_Zone,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG
S01006506,Culter,60,103,28,67,12%,0%,80
S01006507,Culter,40,33,40,86,15%,3%,98
S01006508,Culter,45,54,33,43,13%,6%,70
S01006509,Culter,65,142,49,88,15%,4%,88
S01006510,Culter,75,52,235,149,20%,0%,105
S01006511,Culter,50,105,0,68,11%,13%,73
S01006512,Culter,35,39,0,77,10%,9%,67
S01006513,"Cults, Bieldside and Milltimber West",55,60,0,137,21%,0%,77
S01006514,"Cults, Bieldside and Milltimber West",25,9,0,86,11%,5%,65
S01006515,"Cults, Bieldside and Milltimber West",35,6,0,61,10%,0%,59
S01006516,"Cults, Bieldside and Milltimber West",30,26,55,35,8%,0%,43
S01006517,"Cults, Bieldside and Milltimber West",40,60,70,60,12%,0%,65
S01006518,"Cults, Bieldside and Milltimber East",20,35,119,53,9%,0%,53
S01006519,"Cults, Bieldside and Milltimber East",30,50,41,73,8%,5%,56
S01006520,"Cults, Bieldside and Milltimber East",10,13,0,27,6%,6%,57
S01006521,"Cults, Bieldside and Milltimber East",15,19,0,61,8%,0%,51
S01006522,"Cults, Bieldside and Milltimber East",15,17,0,65,6%,0%,58
S01006523,"Cults, Bieldside and Milltimber East",40,181,0,60,12%,7%,82
S01006524,"Cults, Bieldside and Milltimber East",85,69,35,119,15%,11%,65
S01006525,"Cults, Bieldside and Milltimber East",50,42,90,64,12%,6%,63
S01006526,Garthdee,95,90,113,130,17%,4%,130
S01006527,Garthdee,125,265,222,118,20%,3%,125
S01006528,Garthdee,85,105,71,101,13%,12%,95
S01006529,Garthdee,65,76,25,132,14%,7%,83
S01006530,Garthdee,105,132,129,123,18%,8%,111
S01006531,Garthdee,115,121,312,104,17%,6%,135
S01006532,"Braeside, Mannofield, Broomhill and Seafield East",55,25,0,79,16%,3%,66
S01006533,"Braeside, Mannofield, Broomhill and Seafield East",15,30,0,47,11%,0%,57
S01006534,"Braeside, Mannofield, Broomhill and Seafield East",25,20,0,81,10%,0%,58
S01006535,"Braeside, Mannofield, Broomhill and Seafield East",25,32,18,81,12%,4%,64
S01006536,"Braeside, Mannofield, Broomhill and Seafield East",25,75,89,69,11%,4%,70
S01006537,"Braeside, Mannofield, Broomhill and Seafield South",45,57,83,62,16%,0%,77
S01006538,"Braeside, Mannofield, Broomhill and Seafield South",20,17,0,76,14%,5%,56
S01006539,"Braeside, Mannofield, Broomhill and Seafield South",30,19,0,128,14%,0%,65
S01006540,"Braeside, Mannofield, Broomhill and Seafield South",30,39,0,70,11%,8%,63
S01006541,"Braeside, Mannofield, Broomhill and Seafield South",40,0,0,63,14%,6%,81
