code,Tobrelated_smr,Alcrelated_smr
S01006506,91.76837475,96.67898785
S01006507,91.76837475,96.67898785
S01006508,91.76837475,96.67898785
S01006509,91.76837475,96.67898785
S01006510,91.76837475,96.67898785
S01006511,91.76837475,96.67898785
S01006512,91.76837475,96.67898785
S01006513,41.5208157,115.8953891
S01006514,41.5208157,115.8953891
S01006515,41.5208157,115.8953891
S01006516,41.5208157,115.8953891
S01006517,41.5208157,115.8953891
S01006518,39.15932954,134.0919658
S01006519,39.15932954,134.0919658
S01006520,39.15932954,134.0919658
S01006521,39.15932954,134.0919658
S01006522,39.15932954,134.0919658
S01006523,39.15932954,134.0919658
S01006524,39.15932954,134.0919658
S01006525,39.15932954,134.0919658
S01006526,83.88976342,78.59374407
S01006527,83.88976342,78.59374407
S01006528,83.88976342,78.59374407
S01006529,83.88976342,78.59374407
S01006530,83.88976342,78.59374407
S01006531,83.88976342,78.59374407
S01006532,63.95055289,0
S01006533,63.95055289,0
S01006534,63.95055289,0
S01006535,63.95055289,0
S01006536,63.95055289,0
S01006537,79.32449993,38.41044756
S01006538,79.32449993,38.41044756
S01006539,79.32449993,38.41044756
S01006540,79.32449993,38.41044756
S01006541,79.32449993,38.41044756
S01006542,43.86279013,50.30376056
S01006543,43.86279013,50.30376056
S01006544,43.86279013,50.30376056
S01006545,43.86279013,50.30376056
S01006546,43.86279013,50.30376056
S01006547,58.03431529,78.95724127
S01006548,58.03431529,78.95724127
S01006549,58.03431529,78.95724127
S01006550,58.03431529,78.95724127
S01006551,58.03431529,78.95724127
S01006552,58.03431529,78.95724127
S01006553,105.201441,135.7045037
S01006554,105.201441,135.7045037
S01006555,105.201441,135.7045037
S01006556,105.201441,135.7045037
S01006557,105.201441,135.7045037
S01006558,82.04497699,122.0522467
S01006559,82.04497699,122.0522467
S01006560,82.04497699,122.0522467
S01006561,82.04497699,122.0522467
S01006562,82.04497699,122.0522467
S01006563,82.04497699,122.0522467
S01006564,85.73607917,181.9024552
S01006565,85.73607917,181.9024552
S01006566,85.73607917,181.9024552
S01006567,85.73607917,181.9024552
S01006568,85.73607917,181.9024552
S01006569,85.73607917,181.9024552
S01006570,85.73607917,181.9024552
S01006571,22.92852836,419.7768588
S01006572,22.92852836,419.7768588
S01006573,22.92852836,419.7768588
S01006574,22.92852836,419.7768588
S01006575,73.2391053,48.13201984
S01006576,73.2391053,48.13201984
S01006577,73.2391053,48.13201984
S01006578,73.2391053,48.13201984
S01006579,73.2391053,48.13201984
S01006580,73.2391053,48.13201984
S01006581,73.2391053,48.13201984
S01006582,197.9398439,135.8821391
S01006583,197.9398439,135.8821391
S01006584,197.9398439,135.8821391
S01006585,197.9398439,135.8821391
S01006586,197.9398439,135.8821391
S01006587,303.5742149,587.3685264
S01006588,303.5742149,587.3685264
S01006589,303.5742149,587.3685264
S01006590,303.5742149,587.3685264
S01006591,93.45529792,245.3003307
S01006592,93.45529792,245.3003307
S01006593,93.45529792,245.3003307
S01006594,93.45529792,245.3003307
S01006595,93.45529792,245.3003307
S01006596,93.45529792,245.3003307
S01006597,93.45529792,245.3003307
S01006598,78.16314822,49.94265152
S01006599,78.16314822,49.94265152
S01006600,78.16314822,49.94265152
S01006601,78.16314822,49.94265152
S01006602,78.16314822,49.94265152
S01006603,86.90811457,86.88558468
S01006604,86.90811457,86.88558468
S01006605,86.90811457,86.88558468
S01006606,86.90811457,86.88558468
S01006607,86.90811457,86.88558468
S01006608,87.58263197,155.1769129
S01006609,87.58263197,155.1769129
S01006610,87.58263197,155.1769129
S01006611,87.58263197,155.1769129
S01006612,87.58263197,155.1769129
S01006613,122.6374359,48.77526844
S01006614,122.6374359,48.77526844
S01006615,122.6374359,48.77526844
S01006616,122.6374359,48.77526844
S01006617,122.6374359,48.77526844
S01006618,122.6374359,48.77526844
S01006619,118.6462928,160.6253982
S01006620,118.6462928,160.6253982
S01006621,118.6462928,160.6253982
S01006622,118.6462928,160.6253982
S01006623,118.6462928,160.6253982
S01006624,127.8105308,126.012198
S01006625,127.8105308,126.012198
S01006626,127.8105308,126.012198
S01006627,127.8105308,126.012198
S01006628,127.8105308,126.012198
S01006629,127.8105308,126.012198
S01006630,127.8105308,126.012198
S01006631,120.0164649,248.0311762
S01006632,120.0164649,248.0311762
S01006633,120.0164649,248.0311762
S01006634,120.0164649,248.0311762
S01006635,120.0164649,248.0311762
S01006636,120.0164649,248.0311762
S01006637,122.6398436,210.6904403
S01006638,122.6398436,210.6904403
S01006639,122.6398436,210.6904403
S01006640,122.6398436,210.6904403
S01006641,118.1437778,451.3448491
S01006642,118.1437778,451.3448491
S01006643,118.1437778,451.3448491
S01006644,118.1437778,451.3448491
S01006645,129.6469756,358.8748557
S01006646,129.6469756,358.8748557
S01006647,129.6469756,358.8748557
S01006648,129.6469756,358.8748557
S01006649,129.6469756,358.8748557
S01006650,129.6469756,358.8748557
S01006651,129.6469756,358.8748557
S01006652,129.6469756,358.8748557
S01006653,144.9590591,158.0137909
S01006654,144.9590591,158.0137909
S01006655,144.9590591,158.0137909
S01006656,144.9590591,158.0137909
S01006657,144.9590591,158.0137909
S01006658,187.0151623,44.09346625
S01006659,187.0151623,44.09346625
S01006660,187.0151623,44.09346625
S01006661,187.0151623,44.09346625
S01006662,187.0151623,44.09346625
S01006663,187.0151623,44.09346625
S01006664,187.0151623,44.09346625
S01006665,187.0151623,44.09346625
S01006666,134.7712686,189.1510769
S01006667,134.7712686,189.1510769
S01006668,134.7712686,189.1510769
S01006669,134.7712686,189.1510769
S01006670,134.7712686,189.1510769
S01006671,126.965015,215.0381491
S01006672,126.965015,215.0381491
S01006673,126.965015,215.0381491
S01006674,126.965015,215.0381491
S01006675,149.3574393,215.2232548
S01006676,149.3574393,215.2232548
S01006677,149.3574393,215.2232548
S01006678,149.3574393,215.2232548
S01006679,149.3574393,215.2232548
S01006680,149.3574393,215.2232548
S01006681,90.04879187,266.5676257
S01006682,90.04879187,266.5676257
S01006683,90.04879187,266.5676257
S01006684,90.04879187,266.5676257
S01006685,90.04879187,266.5676257
S01006686,100.950542,66.71126549
S01006687,100.950542,66.71126549
S01006688,100.950542,66.71126549
S01006689,100.950542,66.71126549
S01006690,100.950542,66.71126549
S01006691,100.950542,66.71126549
S01006692,100.950542,66.71126549
S01006693,100.950542,66.71126549
S01006694,86.09310236,98.4460122
S01006695,86.09310236,98.4460122
S01006696,86.09310236,98.4460122
S01006697,86.09310236,98.4460122
S01006698,86.09310236,98.4460122
S01006699,86.09310236,98.4460122
S01006700,86.09310236,98.4460122
S01006701,120.3817333,93.95029737
S01006702,120.3817333,93.95029737
S01006703,120.3817333,93.95029737
S01006704,120.3817333,93.95029737
S01006705,120.3817333,93.95029737
S01006706,120.3817333,93.95029737
S01006707,120.3817333,93.95029737
S01006708,95.24464797,155.732024
S01006709,95.24464797,155.732024
S01006710,95.24464797,155.732024
S01006711,95.24464797,155.732024
S01006712,95.24464797,155.732024
S01006713,95.24464797,155.732024
S01006714,100.9666926,57.13992868
S01006715,100.9666926,57.13992868
S01006716,100.9666926,57.13992868
S01006717,100.9666926,57.13992868
S01006718,100.9666926,57.13992868
S01006719,135.2376547,44.90381969
S01006720,135.2376547,44.90381969
S01006721,135.2376547,44.90381969
S01006722,135.2376547,44.90381969
S01006723,135.2376547,44.90381969
S01006724,135.2376547,44.90381969
S01006725,135.2376547,44.90381969
S01006726,128.1160859,136.8198482
S01006727,128.1160859,136.8198482
S01006728,128.1160859,136.8198482
S01006729,128.1160859,136.8198482
S01006730,128.1160859,136.8198482
S01006731,128.1160859,136.8198482
S01006732,64.0151826,155.3948869
S01006733,64.0151826,155.3948869
S01006734,64.0151826,155.3948869
S01006735,64.0151826,155.3948869
S01006736,64.0151826,155.3948869
S01006737,64.0151826,155.3948869
S01006738,69.17502708,112.2539598
S01006739,69.17502708,112.2539598
S01006740,69.17502708,112.2539598
S01006741,69.17502708,112.2539598
S01006742,69.17502708,112.2539598
S01006743,66.39986478,111.7203985
S01006744,66.39986478,111.7203985
S01006745,66.39986478,111.7203985
S01006746,66.39986478,111.7203985
S01006747,66.39986478,111.7203985
S01006748,66.39986478,111.7203985
S01006749,87.55448428,64.72392651
S01006750,87.55448428,64.72392651
S01006751,87.55448428,64.72392651
S01006752,87.55448428,64.72392651
S01006753,87.55448428,64.72392651
S01006754,87.55448428,64.72392651
S01006755,87.55448428,64.72392651
S01006756,50.88157431,83.93470268
S01006757,50.88157431,83.93470268
S01006758,50.88157431,83.93470268
S01006759,50.88157431,83.93470268
S01006760,50.88157431,83.93470268
S01006761,50.88157431,83.93470268
S01006762,75.31247696,118.7089702
S01006763,75.31247696,118.7089702
S01006764,75.31247696,118.7089702
S01006765,75.31247696,118.7089702
S01006766,75.31247696,118.7089702
S01006767,75.31247696,118.7089702
S01006768,70.19768015,38.58533337
S01006769,70.19768015,38.58533337
S01006770,70.19768015,38.58533337
S01006771,70.19768015,38.58533337
S01006772,70.19768015,38.58533337
S01006773,70.19768015,38.58533337
S01006774,70.19768015,38.58533337
S01006775,110.0006306,58.30302126
S01006776,110.0006306,58.30302126
S01006777,110.0006306,58.30302126
S01006778,110.0006306,58.30302126
S01006779,110.0006306,58.30302126
S01006780,110.0006306,58.30302126
S01006781,53.20084521,42.8834606
S01006782,53.20084521,42.8834606
S01006783,53.20084521,42.8834606
S01006784,53.20084521,42.8834606
S01006785,65.15028638,0
S01006786,65.15028638,0
S01006787,65.15028638,0
S01006788,65.15028638,0
S01006789,38.66586973,78.81895282
S01006790,38.66586973,78.81895282
S01006791,38.66586973,78.81895282
S01006792,38.66586973,78.81895282
S01006793,38.66586973,78.81895282
S01006794,42.47909634,82.68829164
S01006795,42.47909634,82.68829164
S01006796,42.47909634,82.68829164
S01006797,42.47909634,82.68829164
S01006798,42.47909634,82.68829164
S01006799,42.47909634,82.68829164
S01006800,42.47909634,82.68829164
S01006801,56.32000343,75.81514436
S01006802,56.32000343,75.81514436
S01006803,56.32000343,75.81514436
S01006804,56.32000343,75.81514436
S01006805,56.32000343,75.81514436
S01006806,95.67798476,49.24152964
S01006807,95.67798476,49.24152964
S01006808,95.67798476,49.24152964
S01006809,95.67798476,49.24152964
S01006810,95.67798476,49.24152964
S01006811,100.8962431,164.8751921
S01006812,100.8962431,164.8751921
S01006813,100.8962431,164.8751921
S01006814,100.8962431,164.8751921
S01006815,100.8962431,164.8751921
S01006816,100.8962431,164.8751921
S01006817,100.8962431,164.8751921
S01006818,92.73911912,0
S01006819,92.73911912,0
S01006820,92.73911912,0
S01006821,92.73911912,0
S01006822,92.73911912,0
S01006823,69.62405728,73.67379557
S01006824,69.62405728,73.67379557
S01006825,69.62405728,73.67379557
S01006826,69.62405728,73.67379557
S01006827,69.62405728,73.67379557
S01006828,69.62405728,73.67379557
S01006829,69.62405728,73.67379557
S01006830,83.38533835,58.87320519
S01006831,83.38533835,58.87320519
S01006832,83.38533835,58.87320519
S01006833,83.38533835,58.87320519
S01006834,83.38533835,58.87320519
S01006835,83.38533835,58.87320519
S01006836,83.38533835,58.87320519
S01006837,83.38533835,58.87320519
S01006838,83.38533835,58.87320519
S01006839,82.12265241,35.81349341
S01006840,82.12265241,35.81349341
S01006841,82.12265241,35.81349341
S01006842,90.55369517,124.716948
S01006843,90.55369517,124.716948
S01006844,90.55369517,124.716948
S01006845,90.55369517,124.716948
S01006846,90.55369517,124.716948
S01006847,90.55369517,124.716948
S01006848,116.555892,19.59964131
S01006849,116.555892,19.59964131
S01006850,116.555892,19.59964131
S01006851,116.555892,19.59964131
S01006852,116.555892,19.59964131
S01006853,89.45831833,62.02217986
S01006854,89.45831833,62.02217986
S01006855,89.45831833,62.02217986
S01006856,89.45831833,62.02217986
S01006857,89.45831833,62.02217986
S01006858,89.45831833,62.02217986
S01006859,49.49639435,45.43859468
S01006860,49.49639435,45.43859468
S01006861,49.49639435,45.43859468
S01006862,49.49639435,45.43859468
S01006863,49.49639435,45.43859468
S01006864,49.49639435,45.43859468
S01006865,56.77537002,138.2245181
S01006866,56.77537002,138.2245181
S01006867,56.77537002,138.2245181
S01006868,56.77537002,138.2245181
S01006869,72.24634086,0
S01006870,72.24634086,0
S01006871,72.24634086,0
S01006872,72.24634086,0
S01006873,72.24634086,0
S01006874,72.24634086,0
S01006875,52.0281731,91.30901358
S01006876,52.0281731,91.30901358
S01006877,52.0281731,91.30901358
S01006878,52.0281731,91.30901358
S01006879,52.0281731,91.30901358
S01006880,57.57828468,27.43554622
S01006881,57.57828468,27.43554622
S01006882,57.57828468,27.43554622
S01006883,57.57828468,27.43554622
S01006884,57.57828468,27.43554622
S01006885,57.57828468,27.43554622
S01006886,57.57828468,27.43554622
S01006887,57.57828468,27.43554622
S01006888,57.57828468,27.43554622
S01006889,72.97965037,139.6730112
S01006890,72.97965037,139.6730112
