code,crime_count,crime_rate
S01006506,8,89
S01006507,4,48
S01006508,4,58
S01006509,*,*
S01006510,12,178
S01006511,3,38
S01006512,*,*
S01006513,*,*
S01006514,5,44
S01006515,4,51
S01006516,5,87
S01006517,16,154
S01006518,*,*
S01006519,*,*
S01006520,*,*
S01006521,7,91
S01006522,*,*
S01006523,9,96
S01006524,8,79
S01006525,*,*
S01006526,10,110
S01006527,22,329
S01006528,26,246
S01006529,35,394
S01006530,23,290
S01006531,37,380
S01006532,22,274
S01006533,7,91
S01006534,12,123
S01006535,14,135
S01006536,27,252
S01006537,3,33
S01006538,*,*
S01006539,7,90
S01006540,14,148
S01006541,3,36
S01006542,7,71
S01006543,6,74
S01006544,23,196
S01006545,14,131
S01006546,5,78
S01006547,40,431
S01006548,6,86
S01006549,10,120
S01006550,*,*
S01006551,21,303
S01006552,10,116
S01006553,18,208
S01006554,27,338
S01006555,56,714
S01006556,19,233
S01006557,31,439
S01006558,23,371
S01006559,9,146
S01006560,11,112
S01006561,8,105
S01006562,10,113
S01006563,55,729
S01006564,50,482
S01006565,40,396
S01006566,13,175
S01006567,42,508
S01006568,21,225
S01006569,5,89
S01006570,13,160
S01006571,87,922
S01006572,17,176
S01006573,*,*
S01006574,30,307
S01006575,9,98
S01006576,15,198
S01006577,16,196
S01006578,29,267
S01006579,14,138
S01006580,30,384
S01006581,8,87
S01006582,245,2715
S01006583,13,182
S01006584,9,139
S01006585,143,1672
S01006586,539,5041
S01006587,248,4505
S01006588,351,5396
S01006589,80,1068
S01006590,70,892
S01006591,22,290
S01006592,23,330
S01006593,12,150
S01006594,8,153
S01006595,15,161
S01006596,17,221
S01006597,34,618
S01006598,23,227
S01006599,19,227
S01006600,28,237
S01006601,22,205
S01006602,4,43
S01006603,27,319
S01006604,38,563
S01006605,38,458
S01006606,11,129
S01006607,27,291
S01006608,38,345
S01006609,26,242
S01006610,12,265
S01006611,30,332
S01006612,16,187
S01006613,4,67
S01006614,5,73
S01006615,*,*
S01006616,6,77
S01006617,11,167
S01006618,5,99
S01006619,8,93
S01006620,7,86
S01006621,5,96
S01006622,5,76
S01006623,58,789
S01006624,30,365
S01006625,31,502
S01006626,51,709
S01006627,77,866
S01006628,77,660
S01006629,48,579
S01006630,10,154
S01006631,99,960
S01006632,32,389
S01006633,49,748
S01006634,61,944
S01006635,28,403
S01006636,56,683
S01006637,47,586
S01006638,24,277
S01006639,77,768
S01006640,40,530
S01006641,56,518
S01006642,68,511
S01006643,26,333
S01006644,18,163
S01006645,51,726
S01006646,105,1050
S01006647,25,377
S01006648,128,732
S01006649,41,426
S01006650,34,382
S01006651,41,624
S01006652,35,592
S01006653,13,212
S01006654,46,527
S01006655,49,646
S01006656,22,215
S01006657,223,4446
S01006658,56,537
S01006659,19,295
S01006660,10,187
S01006661,18,292
S01006662,40,417
S01006663,5,92
S01006664,17,342
S01006665,16,222
S01006666,77,833
S01006667,69,927
S01006668,17,184
S01006669,62,576
S01006670,21,222
S01006671,26,111
S01006672,65,809
S01006673,40,478
S01006674,44,475
S01006675,74,885
S01006676,55,739
S01006677,47,639
S01006678,76,484
S01006679,6,91
S01006680,28,336
S01006681,59,708
S01006682,57,621
S01006683,44,476
S01006684,75,1127
S01006685,56,770
S01006686,18,272
S01006687,26,306
S01006688,22,230
S01006689,12,144
S01006690,17,285
S01006691,13,246
S01006692,13,169
S01006693,38,367
S01006694,17,201
S01006695,32,439
S01006696,43,518
S01006697,44,471
S01006698,36,477
S01006699,5,103
S01006700,22,258
S01006701,21,294
S01006702,10,127
S01006703,67,992
S01006704,27,458
S01006705,35,477
S01006706,17,264
S01006707,54,792
S01006708,17,213
S01006709,15,167
S01006710,13,151
S01006711,32,347
S01006712,6,113
S01006713,27,281
S01006714,17,227
S01006715,28,446
S01006716,31,492
S01006717,43,437
S01006718,23,362
S01006719,39,433
S01006720,16,279
S01006721,66,664
S01006722,20,262
S01006723,15,235
S01006724,114,1126
S01006725,70,1061
S01006726,103,791
S01006727,93,901
S01006728,30,379
S01006729,39,471
S01006730,22,281
S01006731,22,394
S01006732,23,199
S01006733,*,*
S01006734,7,72
S01006735,3,49
S01006736,13,112
S01006737,*,*
S01006738,45,496
S01006739,21,260
S01006740,48,638
S01006741,20,309
S01006742,9,200
S01006743,15,234
S01006744,14,226
S01006745,39,466
S01006746,17,203
S01006747,13,161
S01006748,35,303
S01006749,6,66
S01006750,31,456
S01006751,6,115
S01006752,24,328
S01006753,18,199
S01006754,12,141
S01006755,23,281
S01006756,12,163
S01006757,3,33
S01006758,5,74
S01006759,6,101
S01006760,4,84
S01006761,9,132
S01006762,13,143
S01006763,9,106
S01006764,3,39
S01006765,*,*
S01006766,*,*
S01006767,*,*
S01006768,*,*
S01006769,6,61
S01006770,3,49
S01006771,*,*
S01006772,5,59
S01006773,9,101
S01006774,4,63
S01006775,7,107
S01006776,*,*
S01006777,7,106
S01006778,11,180
S01006779,26,436
S01006780,6,103
S01006781,3,43
S01006782,51,617
S01006783,19,292
S01006784,8,128
S01006785,*,*
S01006786,13,158
S01006787,6,94
S01006788,11,126
S01006789,11,179
S01006790,13,147
S01006791,17,306
S01006792,7,137
S01006793,5,84
S01006794,7,132
S01006795,18,222
S01006796,4,54
S01006797,3,47
S01006798,7,114
S01006799,10,110
S01006800,*,*
S01006801,16,163
S01006802,6,81
S01006803,6,92
S01006804,3,37
S01006805,40,346
S01006806,3,29
S01006807,7,121
S01006808,*,*
S01006809,25,301
S01006810,8,90
S01006811,15,134
S01006812,11,124
S01006813,9,114
S01006814,10,123
S01006815,10,164
S01006816,9,115
S01006817,14,200
S01006818,3,39
S01006819,21,241
S01006820,*,*
S01006821,14,129
S01006822,8,106
S01006823,*,*
S01006824,13,160
S01006825,16,206
S01006826,4,41
S01006827,22,246
S01006828,17,194
S01006829,3,72
S01006830,11,141
S01006831,4,76
S01006832,23,225
S01006833,10,205
S01006834,*,*
S01006835,50,628
S01006836,3,53
S01006837,8,138
S01006838,3,47
S01006839,4,41
S01006840,7,60
S01006841,*,*
S01006842,17,220
S01006843,*,*
S01006844,*,*
S01006845,3,32
S01006846,*,*
S01006847,21,292
S01006848,33,224
S01006849,10,61
S01006850,20,214
S01006851,17,215
S01006852,*,*
S01006853,15,155
S01006854,3,35
