"CODE","1600alcoholBoth2016count","1600alcoholBoth2016density"
"S01006506",7,0.870378595033803
"S01006507",6,0.746038795743259
"S01006508",6,0.746038795743259
"S01006509",6,0.746038795743259
"S01006510",6,0.746038795743259
"S01006511",7,0.870378595033803
"S01006512",1,0.124339799290543
"S01006513",0,0
"S01006514",2,0.248679598581086
"S01006515",0,0
"S01006516",0,0
"S01006517",3,0.37301939787163
"S01006518",2,0.248679598581086
"S01006519",3,0.37301939787163
"S01006520",2,0.248679598581086
"S01006521",6,0.746038795743259
"S01006522",4,0.497359197162173
"S01006523",6,0.746038795743259
"S01006524",4,0.497359197162173
"S01006525",3,0.37301939787163
"S01006526",6,0.746038795743259
"S01006527",8,0.994718394324346
"S01006528",10,1.24339799290543
"S01006529",11,1.36773779219598
"S01006530",10,1.24339799290543
"S01006531",11,1.36773779219598
"S01006532",24,2.98415518297304
"S01006533",19,2.36245618652032
"S01006534",35,4.35189297516901
"S01006535",49,6.09265016523662
"S01006536",92,11.43926153473
"S01006537",9,1.11905819361489
"S01006538",9,1.11905819361489
"S01006539",17,2.11377658793923
"S01006540",15,1.86509698935815
"S01006541",10,1.24339799290543
"S01006542",7,0.870378595033803
"S01006543",8,0.994718394324346
"S01006544",17,2.11377658793923
"S01006545",17,2.11377658793923
"S01006546",11,1.36773779219598
"S01006547",4,0.497359197162173
"S01006548",6,0.746038795743259
"S01006549",14,1.74075719006761
"S01006550",10,1.24339799290543
"S01006551",7,0.870378595033803
"S01006552",8,0.994718394324346
"S01006553",10,1.24339799290543
"S01006554",9,1.11905819361489
"S01006555",9,1.11905819361489
"S01006556",10,1.24339799290543
"S01006557",7,0.870378595033803
"S01006558",81,10.071523742534
"S01006559",61,7.58472775672314
"S01006560",40,4.97359197162173
"S01006561",24,2.98415518297304
"S01006562",14,1.74075719006761
"S01006563",30,3.7301939787163
"S01006564",129,16.0398341084801
"S01006565",127,15.791154509899
"S01006566",128,15.9154943091895
"S01006567",129,16.0398341084801
"S01006568",127,15.791154509899
"S01006569",97,12.0609605311827
"S01006570",91,11.3149217354394
"S01006571",87,10.8175625382773
"S01006572",18,2.23811638722978
"S01006573",46,5.71963076736499
"S01006574",41,5.09793177091227
"S01006575",42,5.22227157020282
"S01006576",58,7.21170835885151
"S01006577",55,6.83868896097988
"S01006578",103,12.806999326926
"S01006579",119,14.7964361155746
"S01006580",77,9.57416454537183
"S01006581",25,3.10849498226358
"S01006582",132,16.4128535063517
"S01006583",130,16.1641739077706
"S01006584",131,16.2885137070612
"S01006585",131,16.2885137070612
"S01006586",131,16.2885137070612
"S01006587",131,16.2885137070612
"S01006588",133,16.5371933056422
"S01006589",129,16.0398341084801
"S01006590",130,16.1641739077706
"S01006591",128,15.9154943091895
"S01006592",126,15.6668147106084
"S01006593",129,16.0398341084801
"S01006594",102,12.6826595276354
"S01006595",127,15.791154509899
"S01006596",126,15.6668147106084
"S01006597",122,15.1694555134463
"S01006598",107,13.3043585240881
"S01006599",14,1.74075719006761
"S01006600",40,4.97359197162173
"S01006601",80,9.94718394324346
"S01006602",102,12.6826595276354
"S01006603",4,0.497359197162173
"S01006604",6,0.746038795743259
"S01006605",7,0.870378595033803
