"CODE","2000alcoholTOTAL2012count","2000alcoholTOTAL2012density"
"S01006506",16,1.27323954473516
"S01006507",14,1.11408460164327
"S01006508",15,1.19366207318922
"S01006509",15,1.19366207318922
"S01006510",16,1.27323954473516
"S01006511",16,1.27323954473516
"S01006512",6,0.477464829275686
"S01006513",2,0.159154943091895
"S01006514",9,0.716197243913529
"S01006515",2,0.159154943091895
"S01006516",5,0.397887357729738
"S01006517",11,0.875352187005424
"S01006518",10,0.795774715459477
"S01006519",10,0.795774715459477
"S01006520",8,0.636619772367581
"S01006521",27,2.14859173174059
"S01006522",16,1.27323954473516
"S01006523",15,1.19366207318922
"S01006524",14,1.11408460164327
"S01006525",11,0.875352187005424
"S01006526",34,2.70563403256222
"S01006527",33,2.62605656101627
"S01006528",36,2.86478897565412
"S01006529",87,6.92324002449745
"S01006530",48,3.81971863420549
"S01006531",41,3.26267633338385
"S01006532",159,12.6528179758057
"S01006533",107,8.5147894554164
"S01006534",224,17.8253536262923
"S01006535",302,24.0323964068762
"S01006536",372,29.6028194150925
"S01006537",43,3.42183127647575
"S01006538",41,3.26267633338385
"S01006539",97,7.71901473995692
"S01006540",60,4.77464829275686
"S01006541",53,4.21760599193523
"S01006542",42,3.3422538049298
"S01006543",42,3.3422538049298
"S01006544",77,6.12746530903797
"S01006545",91,7.24154991068124
"S01006546",55,4.37676093502712
"S01006547",27,2.14859173174059
"S01006548",39,3.10352139029196
"S01006549",59,4.69507082121091
"S01006550",43,3.42183127647575
"S01006551",32,2.54647908947033
"S01006552",38,3.02394391874601
"S01006553",51,4.05845104884333
"S01006554",60,4.77464829275686
"S01006555",36,2.86478897565412
"S01006556",47,3.74014116265954
"S01006557",27,2.14859173174059
"S01006558",385,30.6373265451899
"S01006559",351,27.9316925126276
"S01006560",282,22.4408469759572
"S01006561",230,18.302818455568
"S01006562",70,5.57042300821634
"S01006563",265,21.0880299596761
"S01006564",409,32.5471858622926
"S01006565",425,33.8204254070278
"S01006566",404,32.1492985045629
