"CODE","3000alcoholOff2012count","3000alcoholOff2012density"
"S01006506",4,0.141471060526129
"S01006507",4,0.141471060526129
"S01006508",4,0.141471060526129
"S01006509",4,0.141471060526129
"S01006510",4,0.141471060526129
"S01006511",4,0.141471060526129
"S01006512",4,0.141471060526129
"S01006513",5,0.176838825657661
"S01006514",5,0.176838825657661
"S01006515",5,0.176838825657661
"S01006516",4,0.141471060526129
"S01006517",11,0.389045416446855
"S01006518",6,0.212206590789194
"S01006519",6,0.212206590789194
"S01006520",6,0.212206590789194
"S01006521",25,0.884194128288307
"S01006522",17,0.601252007236049
"S01006523",16,0.565884242104517
"S01006524",11,0.389045416446855
"S01006525",6,0.212206590789194
"S01006526",37,1.3086073098667
"S01006527",39,1.37934284012976
"S01006528",51,1.80375602170815
"S01006529",77,2.72331791512799
"S01006530",60,2.12206590789194
"S01006531",55,1.94522708223428
"S01006532",88,3.11236333157484
"S01006533",88,3.11236333157484
"S01006534",102,3.60751204341629
"S01006535",105,3.71361533881089
"S01006536",115,4.06729299012621
"S01006537",52,1.83912378683968
"S01006538",47,1.66228496118202
"S01006539",81,2.86478897565412
"S01006540",69,2.44037579407573
"S01006541",63,2.22816920328654
"S01006542",50,1.76838825657661
"S01006543",44,1.55618166578742
"S01006544",90,3.18309886183791
"S01006545",88,3.11236333157484
"S01006546",71,2.51111132433879
"S01006547",36,1.27323954473516
"S01006548",47,1.66228496118202
"S01006549",69,2.44037579407573
"S01006550",53,1.87449155197121
"S01006551",38,1.34397507499823
"S01006552",41,1.45007837039282
"S01006553",76,2.68795014999645
"S01006554",95,3.35993768749557
"S01006555",42,1.48544613552436
"S01006556",54,1.90985931710274
"S01006557",29,1.02566518881444
"S01006558",140,4.95148711841452
"S01006559",140,4.95148711841452
"S01006560",136,4.81001605788839
"S01006561",131,4.63317723223073
"S01006562",113,3.99655745986315
"S01006563",133,4.7039127624938
"S01006564",132,4.66854499736226
"S01006565",131,4.63317723223073
"S01006566",137,4.84538382301993
"S01006567",133,4.7039127624938
"S01006568",135,4.77464829275686
"S01006569",136,4.81001605788839
"S01006570",137,4.84538382301993
"S01006571",135,4.77464829275686
"S01006572",121,4.27949958091541
"S01006573",134,4.73928052762533
"S01006574",126,4.45633840657307
"S01006575",112,3.96118969473162
"S01006576",121,4.27949958091541
"S01006577",122,4.31486734604694
"S01006578",121,4.27949958091541
"S01006579",124,4.38560287631
"S01006580",127,4.4917061717046
"S01006581",104,3.67824757367936
"S01006582",122,4.31486734604694
"S01006583",121,4.27949958091541
"S01006584",132,4.66854499736226
"S01006585",133,4.7039127624938
"S01006586",126,4.45633840657307
"S01006587",109,3.85508639933702
"S01006588",109,3.85508639933702
"S01006589",108,3.81971863420549
"S01006590",115,4.06729299012621
"S01006591",112,3.96118969473162
"S01006592",106,3.74898310394242
"S01006593",110,3.89045416446855
"S01006594",113,3.99655745986315
"S01006595",115,4.06729299012621
"S01006596",112,3.96118969473162
"S01006597",117,4.13802852038928
"S01006598",106,3.74898310394242
"S01006599",85,3.00626003618025
"S01006600",103,3.64287980854783
"S01006601",107,3.78435086907396
"S01006602",108,3.81971863420549
"S01006603",44,1.55618166578742
"S01006604",59,2.08669814276041
"S01006605",63,2.22816920328654
"S01006606",78,2.75868568025952
"S01006607",69,2.44037579407573
"S01006608",6,0.212206590789194
"S01006609",56,1.98059484736581
"S01006610",51,1.80375602170815
"S01006611",52,1.83912378683968
"S01006612",29,1.02566518881444
"S01006613",8,0.282942121052258
"S01006614",6,0.212206590789194
"S01006615",6,0.212206590789194
"S01006616",6,0.212206590789194
"S01006617",7,0.247574355920726
"S01006618",7,0.247574355920726
"S01006619",7,0.247574355920726
"S01006620",10,0.353677651315323
"S01006621",13,0.45978094670992
"S01006622",11,0.389045416446855
"S01006623",55,1.94522708223428
"S01006624",100,3.53677651315323
"S01006625",94,3.32456992236404
"S01006626",93,3.2892021572325
"S01006627",91,3.21846662696944
"S01006628",98,3.46604098289017
"S01006629",95,3.35993768749557
"S01006630",82,2.90015674078565
"S01006631",69,2.44037579407573
"S01006632",85,3.00626003618025
"S01006633",75,2.65258238486492
"S01006634",70,2.47574355920726
"S01006635",76,2.68795014999645
"S01006636",64,2.26353696841807
"S01006637",110,3.89045416446855
"S01006638",112,3.96118969473162
"S01006639",113,3.99655745986315
"S01006640",107,3.78435086907396
"S01006641",113,3.99655745986315
"S01006642",119,4.20876405065234
"S01006643",116,4.10266075525775
"S01006644",113,3.99655745986315
"S01006645",123,4.35023511117847
"S01006646",121,4.27949958091541
"S01006647",119,4.20876405065234
"S01006648",125,4.42097064144154
"S01006649",128,4.52707393683613
"S01006650",129,4.56244170196767
"S01006651",128,4.52707393683613
"S01006652",127,4.4917061717046
"S01006653",130,4.5978094670992
"S01006654",131,4.63317723223073
"S01006655",133,4.7039127624938
"S01006656",135,4.77464829275686
"S01006657",129,4.56244170196767
"S01006658",121,4.27949958091541
"S01006659",123,4.35023511117847
"S01006660",117,4.13802852038928
"S01006661",121,4.27949958091541
"S01006662",114,4.03192522499468
"S01006663",112,3.96118969473162
"S01006664",121,4.27949958091541
"S01006665",119,4.20876405065234
"S01006666",84,2.97089227104871
"S01006667",92,3.25383439210097
"S01006668",106,3.74898310394242
"S01006669",95,3.35993768749557
"S01006670",108,3.81971863420549
"S01006671",75,2.65258238486492
"S01006672",91,3.21846662696944
"S01006673",85,3.00626003618025
"S01006674",82,2.90015674078565
"S01006675",101,3.57214427828476
"S01006676",90,3.18309886183791
"S01006677",106,3.74898310394242
"S01006678",82,2.90015674078565
"S01006679",86,3.04162780131178
"S01006680",82,2.90015674078565
"S01006681",66,2.33427249868113
"S01006682",111,3.92582192960008
"S01006683",114,4.03192522499468
"S01006684",96,3.3953054526271
"S01006685",81,2.86478897565412
"S01006686",89,3.14773109670637
"S01006687",90,3.18309886183791
"S01006688",115,4.06729299012621
"S01006689",118,4.17339628552081
"S01006690",117,4.13802852038928
"S01006691",125,4.42097064144154
"S01006692",124,4.38560287631
"S01006693",93,3.2892021572325
"S01006694",101,3.57214427828476
"S01006695",118,4.17339628552081
"S01006696",106,3.74898310394242
"S01006697",115,4.06729299012621
"S01006698",106,3.74898310394242
"S01006699",127,4.4917061717046
"S01006700",129,4.56244170196767
"S01006701",42,1.48544613552436
"S01006702",61,2.15743367302347
