"CODE","400tobaccoTOTAL2012count","400tobaccoTOTAL2012density"
"S01006506",7,13.9260575205408
"S01006507",0,0
"S01006508",5,9.94718394324346
"S01006509",3,5.96831036594608
"S01006510",2,3.97887357729738
"S01006511",3,5.96831036594608
"S01006512",0,0
"S01006513",0,0
"S01006514",0,0
"S01006515",0,0
"S01006516",0,0
"S01006517",0,0
"S01006518",1,1.98943678864869
"S01006519",0,0
"S01006520",0,0
"S01006521",1,1.98943678864869
"S01006522",1,1.98943678864869
"S01006523",3,5.96831036594608
"S01006524",2,3.97887357729738
"S01006525",0,0
"S01006526",1,1.98943678864869
"S01006527",1,1.98943678864869
"S01006528",3,5.96831036594608
"S01006529",3,5.96831036594608
"S01006530",2,3.97887357729738
"S01006531",2,3.97887357729738
"S01006532",3,5.96831036594608
"S01006533",2,3.97887357729738
"S01006534",0,0
"S01006535",5,9.94718394324346
"S01006536",9,17.9049310978382
"S01006537",0,0
"S01006538",0,0
"S01006539",0,0
"S01006540",1,1.98943678864869
"S01006541",1,1.98943678864869
"S01006542",0,0
"S01006543",0,0
"S01006544",1,1.98943678864869
"S01006545",3,5.96831036594608
"S01006546",4,7.95774715459477
"S01006547",2,3.97887357729738
"S01006548",0,0
"S01006549",0,0
"S01006550",1,1.98943678864869
"S01006551",1,1.98943678864869
"S01006552",0,0
"S01006553",1,1.98943678864869
"S01006554",5,9.94718394324346
"S01006555",3,5.96831036594608
"S01006556",1,1.98943678864869
"S01006557",2,3.97887357729738
"S01006558",3,5.96831036594608
"S01006559",3,5.96831036594608
"S01006560",2,3.97887357729738
"S01006561",2,3.97887357729738
"S01006562",2,3.97887357729738
"S01006563",1,1.98943678864869
"S01006564",13,25.862678252433
"S01006565",14,27.8521150410817
"S01006566",5,9.94718394324346
"S01006567",11,21.8838046751356
"S01006568",4,7.95774715459477
"S01006569",3,5.96831036594608
"S01006570",3,5.96831036594608
"S01006571",4,7.95774715459477
"S01006572",0,0
"S01006573",2,3.97887357729738
"S01006574",4,7.95774715459477
"S01006575",1,1.98943678864869
"S01006576",4,7.95774715459477
"S01006577",2,3.97887357729738
"S01006578",12,23.8732414637843
"S01006579",17,33.8204254070278
"S01006580",6,11.9366207318922
"S01006581",2,3.97887357729738
"S01006582",52,103.450713009732
"S01006583",27,53.7147932935147
"S01006584",23,45.7570461389199
"S01006585",35,69.6302876027042
"S01006586",55,109.419023375678
"S01006587",39,77.588034757299
