"CODE","5000alcoholOn2016count","5000alcoholOn2016density"
"S01006506",15,0.190985931710274
"S01006507",15,0.190985931710274
"S01006508",14,0.178253536262923
"S01006509",15,0.190985931710274
"S01006510",15,0.190985931710274
"S01006511",16,0.203718327157626
"S01006512",16,0.203718327157626
"S01006513",22,0.280112699841736
"S01006514",20,0.254647908947033
"S01006515",21,0.267380304394384
"S01006516",24,0.305577490736439
"S01006517",59,0.751211331393746
"S01006518",40,0.509295817894065
"S01006519",45,0.572957795130823
"S01006520",36,0.458366236104659
"S01006521",321,4.08709893859987
"S01006522",138,1.75707057173452
"S01006523",121,1.54061984912955
"S01006524",60,0.763943726841098
"S01006525",48,0.611154981472878
"S01006526",354,4.50726798836248
"S01006527",356,4.53273277925718
"S01006528",370,4.7109863155201
"S01006529",385,4.90197224723038
"S01006530",378,4.81284547909891
"S01006531",373,4.74918350186216
"S01006532",390,4.96563422446713
"S01006533",394,5.01656380625654
"S01006534",396,5.04202859715124
"S01006535",393,5.00383141080919
"S01006536",399,5.0802257834933
"S01006537",361,4.59639475649394
"S01006538",371,4.72371871096745
"S01006539",391,4.97836661991449
"S01006540",386,4.91470464267773
"S01006541",389,4.95290182901978
"S01006542",364,4.63459194283599
"S01006543",359,4.57092996559923
"S01006544",399,5.0802257834933
"S01006545",394,5.01656380625654
"S01006546",391,4.97836661991449
"S01006547",346,4.40540882478366
"S01006548",366,4.6600567337307
"S01006549",399,5.0802257834933
"S01006550",375,4.77464829275686
"S01006551",368,4.6855215246254
"S01006552",381,4.85104266544097
"S01006553",400,5.09295817894065
"S01006554",407,5.18208494707211
"S01006555",379,4.82557787454627
"S01006556",391,4.97836661991449
"S01006557",349,4.44360601112572
"S01006558",409,5.20754973796681
"S01006559",406,5.16935255162476
"S01006560",407,5.18208494707211
"S01006561",412,5.24574692430887
"S01006562",408,5.19481734251946
"S01006563",412,5.24574692430887
"S01006564",406,5.16935255162476
"S01006565",408,5.19481734251946
"S01006566",409,5.20754973796681
"S01006567",408,5.19481734251946
"S01006568",408,5.19481734251946
"S01006569",408,5.19481734251946
"S01006570",406,5.16935255162476
"S01006571",404,5.14388776073006
"S01006572",403,5.13115536528271
"S01006573",404,5.14388776073006
"S01006574",404,5.14388776073006
"S01006575",395,5.02929620170389
"S01006576",398,5.06749338804595
"S01006577",398,5.06749338804595
"S01006578",400,5.09295817894065
"S01006579",400,5.09295817894065
"S01006580",401,5.105690574388
"S01006581",396,5.04202859715124
"S01006582",399,5.0802257834933
"S01006583",399,5.0802257834933
"S01006584",403,5.13115536528271
"S01006585",402,5.11842296983535
"S01006586",403,5.13115536528271
"S01006587",397,5.0547609925986
"S01006588",397,5.0547609925986
"S01006589",397,5.0547609925986
"S01006590",397,5.0547609925986
"S01006591",398,5.06749338804595
"S01006592",394,5.01656380625654
"S01006593",396,5.04202859715124
"S01006594",396,5.04202859715124
"S01006595",399,5.0802257834933
"S01006596",399,5.0802257834933
"S01006597",399,5.0802257834933
"S01006598",392,4.99109901536184
"S01006599",387,4.92743703812508
"S01006600",389,4.95290182901978
"S01006601",394,5.01656380625654
"S01006602",395,5.02929620170389
"S01006603",364,4.63459194283599
"S01006604",372,4.73645110641481
"S01006605",373,4.74918350186216
"S01006606",378,4.81284547909891
"S01006607",374,4.76191589730951
"S01006608",51,0.649352167814933
"S01006609",364,4.63459194283599
"S01006610",364,4.63459194283599
"S01006611",365,4.64732433828334
"S01006612",357,4.54546517470453
"S01006613",70,0.891267681314614
"S01006614",37,0.47109863155201
"S01006615",40,0.509295817894065
"S01006616",38,0.483831026999362
"S01006617",86,1.09498600847224
"S01006618",161,2.04991566702361
"S01006619",246,3.1321692800485
"S01006620",291,3.70512707517932
"S01006621",331,4.21442289307339
"S01006622",295,3.75605665696873
"S01006623",362,4.60912715194129
"S01006624",387,4.92743703812508
"S01006625",382,4.86377506088832
"S01006626",383,4.87650745633567
"S01006627",386,4.91470464267773
"S01006628",389,4.95290182901978
"S01006629",379,4.82557787454627
"S01006630",376,4.78738068820421
"S01006631",374,4.76191589730951
"S01006632",382,4.86377506088832
"S01006633",374,4.76191589730951
"S01006634",372,4.73645110641481
"S01006635",380,4.83831026999362
"S01006636",371,4.72371871096745
"S01006637",395,5.02929620170389
"S01006638",397,5.0547609925986
"S01006639",397,5.0547609925986
"S01006640",394,5.01656380625654
"S01006641",395,5.02929620170389
"S01006642",399,5.0802257834933
"S01006643",395,5.02929620170389
"S01006644",395,5.02929620170389
"S01006645",406,5.16935255162476
"S01006646",403,5.13115536528271
"S01006647",401,5.105690574388
"S01006648",405,5.15662015617741
"S01006649",407,5.18208494707211
"S01006650",406,5.16935255162476
"S01006651",406,5.16935255162476
"S01006652",406,5.16935255162476
"S01006653",412,5.24574692430887
"S01006654",412,5.24574692430887
"S01006655",411,5.23301452886152
"S01006656",409,5.20754973796681
"S01006657",411,5.23301452886152
"S01006658",403,5.13115536528271
"S01006659",406,5.16935255162476
"S01006660",409,5.20754973796681
"S01006661",405,5.15662015617741
"S01006662",406,5.16935255162476
"S01006663",402,5.11842296983535
"S01006664",402,5.11842296983535
"S01006665",402,5.11842296983535
"S01006666",389,4.95290182901978
"S01006667",396,5.04202859715124
"S01006668",397,5.0547609925986
"S01006669",399,5.0802257834933
"S01006670",396,5.04202859715124
"S01006671",388,4.94016943357243
"S01006672",396,5.04202859715124
"S01006673",394,5.01656380625654
"S01006674",391,4.97836661991449
"S01006675",408,5.19481734251946
"S01006676",407,5.18208494707211
"S01006677",406,5.16935255162476
"S01006678",403,5.13115536528271
"S01006679",407,5.18208494707211
"S01006680",404,5.14388776073006
"S01006681",413,5.25847931975622
"S01006682",410,5.22028213341417
"S01006683",410,5.22028213341417
"S01006684",409,5.20754973796681
"S01006685",410,5.22028213341417
"S01006686",409,5.20754973796681
"S01006687",408,5.19481734251946
"S01006688",412,5.24574692430887
"S01006689",412,5.24574692430887
"S01006690",410,5.22028213341417
"S01006691",411,5.23301452886152
"S01006692",412,5.24574692430887
"S01006693",408,5.19481734251946
"S01006694",413,5.25847931975622
"S01006695",416,5.29667650609828
"S01006696",415,5.28394411065092
"S01006697",416,5.29667650609828
"S01006698",414,5.27121171520357
"S01006699",415,5.28394411065092
"S01006700",414,5.27121171520357
"S01006701",382,4.86377506088832
"S01006702",394,5.01656380625654
"S01006703",389,4.95290182901978
"S01006704",384,4.88923985178302
"S01006705",409,5.20754973796681
"S01006706",408,5.19481734251946
"S01006707",408,5.19481734251946
"S01006708",368,4.6855215246254
"S01006709",315,4.01070456591576
"S01006710",227,2.89025376654882
"S01006711",283,3.60326791160051
"S01006712",372,4.73645110641481
"S01006713",392,4.99109901536184
"S01006714",414,5.27121171520357
"S01006715",414,5.27121171520357
"S01006716",413,5.25847931975622
"S01006717",411,5.23301452886152
"S01006718",412,5.24574692430887
"S01006719",347,4.41814122023101
"S01006720",280,3.56507072525846
"S01006721",386,4.91470464267773
"S01006722",414,5.27121171520357
"S01006723",398,5.06749338804595
"S01006724",398,5.06749338804595
"S01006725",388,4.94016943357243
"S01006726",414,5.27121171520357
"S01006727",406,5.16935255162476
"S01006728",386,4.91470464267773
"S01006729",413,5.25847931975622
"S01006730",337,4.2908172657575
"S01006731",263,3.34862000265348
"S01006732",52,0.662084563262285
"S01006733",47,0.598422586025526
"S01006734",45,0.572957795130823
"S01006735",45,0.572957795130823
"S01006736",53,0.674816958709636
"S01006737",45,0.572957795130823
"S01006738",109,1.38783110376133
"S01006739",242,3.08123969825909
"S01006740",78,0.993126844893427
"S01006741",68,0.865802890419911
"S01006742",70,0.891267681314614
"S01006743",57,0.725746540499043
"S01006744",64,0.814873308630504
"S01006745",65,0.827605704077856
"S01006746",62,0.789408517735801
"S01006747",59,0.751211331393746
"S01006748",47,0.598422586025526
"S01006749",43,0.54749300423612
"S01006750",37,0.47109863155201
"S01006751",37,0.47109863155201
"S01006752",38,0.483831026999362
"S01006753",39,0.496563422446713
"S01006754",43,0.54749300423612
"S01006755",35,0.445633840657307
"S01006756",401,5.105690574388
"S01006757",374,4.76191589730951
"S01006758",397,5.0547609925986
"S01006759",396,5.04202859715124
"S01006760",348,4.43087361567837
"S01006761",221,2.81385939386471
"S01006762",102,1.29870433562987
"S01006763",73,0.929464867656669
"S01006764",90,1.14591559026165
"S01006765",86,1.09498600847224
"S01006766",75,0.954929658551372
"S01006767",184,2.3427607623127
"S01006768",370,4.7109863155201
"S01006769",281,3.57780312070581
"S01006770",212,2.69926783483854
"S01006771",94,1.19684517205105
"S01006772",224,2.85205658020676
"S01006773",114,1.45149308099809
"S01006774",85,1.08225361302489
"S01006775",392,4.99109901536184
"S01006776",381,4.85104266544097
"S01006777",361,4.59639475649394
"S01006778",373,4.74918350186216
"S01006779",375,4.77464829275686
"S01006780",383,4.87650745633567
"S01006781",364,4.63459194283599
"S01006782",358,4.55819757015188
"S01006783",370,4.7109863155201
"S01006784",376,4.78738068820421
"S01006785",59,0.751211331393746
"S01006786",71,0.904000076761965
"S01006787",150,1.90985931710274
"S01006788",51,0.649352167814933
"S01006789",15,0.190985931710274
"S01006790",15,0.190985931710274
"S01006791",1,0.0127323954473516
"S01006792",15,0.190985931710274
"S01006793",11,0.140056349920868
"S01006794",9,0.114591559026165
"S01006795",10,0.127323954473516
"S01006796",9,0.114591559026165
"S01006797",10,0.127323954473516
"S01006798",2,0.0254647908947033
"S01006799",10,0.127323954473516
"S01006800",19,0.241915513499681
"S01006801",5,0.0636619772367581
"S01006802",5,0.0636619772367581
"S01006803",6,0.0763943726841098
"S01006804",6,0.0763943726841098
"S01006805",5,0.0636619772367581
"S01006806",5,0.0636619772367581
"S01006807",8,0.101859163578813
"S01006808",2,0.0254647908947033
"S01006809",1,0.0127323954473516
"S01006810",4,0.0509295817894065
"S01006811",4,0.0509295817894065
"S01006812",3,0.0381971863420549
"S01006813",9,0.114591559026165
"S01006814",7,0.0891267681314614
"S01006815",7,0.0891267681314614
"S01006816",7,0.0891267681314614
"S01006817",7,0.0891267681314614
"S01006818",2,0.0254647908947033
"S01006819",22,0.280112699841736
"S01006820",8,0.101859163578813
"S01006821",10,0.127323954473516
"S01006822",25,0.318309886183791
"S01006823",25,0.318309886183791
"S01006824",25,0.318309886183791
"S01006825",25,0.318309886183791
"S01006826",25,0.318309886183791
"S01006827",25,0.318309886183791
"S01006828",25,0.318309886183791
"S01006829",25,0.318309886183791
"S01006830",25,0.318309886183791
"S01006831",25,0.318309886183791
"S01006832",25,0.318309886183791
"S01006833",25,0.318309886183791
"S01006834",25,0.318309886183791
"S01006835",25,0.318309886183791
"S01006836",25,0.318309886183791
"S01006837",25,0.318309886183791
"S01006838",25,0.318309886183791
"S01006839",10,0.127323954473516
"S01006840",10,0.127323954473516
"S01006841",10,0.127323954473516
"S01006842",10,0.127323954473516
"S01006843",10,0.127323954473516
"S01006844",10,0.127323954473516
"S01006845",10,0.127323954473516
"S01006846",10,0.127323954473516
"S01006847",10,0.127323954473516
"S01006848",55,0.700281749604339
"S01006849",13,0.165521140815571
"S01006850",12,0.15278874536822
"S01006851",10,0.127323954473516
"S01006852",10,0.127323954473516
"S01006853",16,0.203718327157626
"S01006854",7,0.0891267681314614
"S01006855",2,0.0254647908947033
"S01006856",2,0.0254647908947033
"S01006857",2,0.0254647908947033
"S01006858",0,0
"S01006859",20,0.254647908947033
"S01006860",20,0.254647908947033
"S01006861",20,0.254647908947033
"S01006862",20,0.254647908947033
"S01006863",20,0.254647908947033
"S01006864",20,0.254647908947033
"S01006865",20,0.254647908947033
"S01006866",20,0.254647908947033
"S01006867",20,0.254647908947033
"S01006868",20,0.254647908947033
"S01006869",7,0.0891267681314614
"S01006870",4,0.0509295817894065
"S01006871",4,0.0509295817894065
"S01006872",20,0.254647908947033
"S01006873",19,0.241915513499681
"S01006874",4,0.0509295817894065
"S01006875",4,0.0509295817894065
"S01006876",6,0.0763943726841098
"S01006877",2,0.0254647908947033
"S01006878",2,0.0254647908947033
"S01006879",4,0.0509295817894065
"S01006880",1,0.0127323954473516
"S01006881",5,0.0636619772367581
"S01006882",7,0.0891267681314614
"S01006883",7,0.0891267681314614
"S01006884",7,0.0891267681314614
"S01006885",7,0.0891267681314614
"S01006886",3,0.0381971863420549
"S01006887",7,0.0891267681314614
"S01006888",3,0.0381971863420549
"S01006889",6,0.0763943726841098
"S01006890",6,0.0763943726841098
"S01006891",5,0.0636619772367581
"S01006892",6,0.0763943726841098
"S01006893",7,0.0891267681314614
"S01006894",34,0.432901445209955
"S01006895",36,0.458366236104659
"S01006896",34,0.432901445209955
"S01006897",34,0.432901445209955
"S01006898",34,0.432901445209955
"S01006899",36,0.458366236104659
"S01006900",36,0.458366236104659
"S01006901",36,0.458366236104659
"S01006902",35,0.445633840657307
"S01006903",37,0.47109863155201
"S01006904",37,0.47109863155201
"S01006905",37,0.47109863155201
"S01006906",36,0.458366236104659
"S01006907",36,0.458366236104659
"S01006908",34,0.432901445209955
"S01006909",34,0.432901445209955
"S01006910",10,0.127323954473516
"S01006911",37,0.47109863155201
"S01006912",37,0.47109863155201
"S01006913",36,0.458366236104659
"S01006914",2,0.0254647908947033
"S01006915",2,0.0254647908947033
"S01006916",5,0.0636619772367581
"S01006917",7,0.0891267681314614
"S01006918",10,0.127323954473516
"S01006919",10,0.127323954473516
"S01006920",11,0.140056349920868
"S01006921",10,0.127323954473516
"S01006922",8,0.101859163578813
"S01006923",10,0.127323954473516
"S01006924",28,0.356507072525846
"S01006925",5,0.0636619772367581
"S01006926",3,0.0381971863420549
"S01006927",4,0.0509295817894065
"S01006928",4,0.0509295817894065
"S01006929",13,0.165521140815571
"S01006930",14,0.178253536262923
"S01006931",10,0.127323954473516
"S01006932",11,0.140056349920868
"S01006933",12,0.15278874536822
"S01006934",10,0.127323954473516
"S01006935",13,0.165521140815571
"S01006936",13,0.165521140815571
"S01006937",12,0.15278874536822
"S01006938",12,0.15278874536822
"S01006939",12,0.15278874536822
"S01006940",12,0.15278874536822
"S01006941",12,0.15278874536822
"S01006942",11,0.140056349920868
"S01006943",11,0.140056349920868
"S01006944",11,0.140056349920868
"S01006945",11,0.140056349920868
"S01006946",4,0.0509295817894065
"S01006947",4,0.0509295817894065
"S01006948",4,0.0509295817894065
"S01006949",13,0.165521140815571
"S01006950",4,0.0509295817894065
"S01006951",4,0.0509295817894065
"S01006952",11,0.140056349920868
"S01006953",5,0.0636619772367581
"S01006954",14,0.178253536262923
"S01006955",5,0.0636619772367581
"S01006956",5,0.0636619772367581
"S01006957",5,0.0636619772367581
"S01006958",13,0.165521140815571
"S01006959",13,0.165521140815571
"S01006960",13,0.165521140815571
"S01006961",13,0.165521140815571
"S01006962",13,0.165521140815571
"S01006963",13,0.165521140815571
"S01006964",13,0.165521140815571
"S01006965",13,0.165521140815571
"S01006966",13,0.165521140815571
"S01006967",13,0.165521140815571
"S01006968",13,0.165521140815571
"S01006969",13,0.165521140815571
"S01006970",13,0.165521140815571
"S01006971",13,0.165521140815571
"S01006972",5,0.0636619772367581
"S01006973",4,0.0509295817894065
"S01006974",3,0.0381971863420549
"S01006975",0,0
"S01006976",13,0.165521140815571
"S01006977",16,0.203718327157626
"S01006978",1,0.0127323954473516
"S01006979",5,0.0636619772367581
"S01006980",3,0.0381971863420549
"S01006981",5,0.0636619772367581
"S01006982",7,0.0891267681314614
"S01006983",7,0.0891267681314614
"S01006984",5,0.0636619772367581
"S01006985",10,0.127323954473516
"S01006986",10,0.127323954473516
"S01006987",10,0.127323954473516
"S01006988",10,0.127323954473516
"S01006989",4,0.0509295817894065
"S01006990",10,0.127323954473516
"S01006991",3,0.0381971863420549
"S01006992",2,0.0254647908947033
"S01006993",0,0
"S01006994",2,0.0254647908947033
"S01006995",2,0.0254647908947033
"S01006996",3,0.0381971863420549
"S01006997",4,0.0509295817894065
"S01006998",3,0.0381971863420549
"S01006999",1,0.0127323954473516
"S01007000",3,0.0381971863420549
"S01007001",3,0.0381971863420549
