"CODE","1000alcoholOn2012count","1000alcoholOn2012density"
"S01006506",3,0.954929658551372
"S01006507",3,0.954929658551372
"S01006508",3,0.954929658551372
"S01006509",3,0.954929658551372
"S01006510",3,0.954929658551372
"S01006511",5,1.59154943091895
"S01006512",0,0
"S01006513",0,0
"S01006514",1,0.318309886183791
"S01006515",0,0
"S01006516",0,0
"S01006517",0,0
"S01006518",0,0
"S01006519",0,0
"S01006520",0,0
"S01006521",1,0.318309886183791
"S01006522",1,0.318309886183791
"S01006523",1,0.318309886183791
"S01006524",0,0
"S01006525",0,0
"S01006526",1,0.318309886183791
"S01006527",1,0.318309886183791
"S01006528",2,0.636619772367581
"S01006529",2,0.636619772367581
"S01006530",2,0.636619772367581
"S01006531",2,0.636619772367581
"S01006532",2,0.636619772367581
"S01006533",4,1.27323954473516
"S01006534",7,2.22816920328654
"S01006535",6,1.90985931710274
"S01006536",48,15.278874536822
"S01006537",2,0.636619772367581
"S01006538",1,0.318309886183791
"S01006539",2,0.636619772367581
"S01006540",2,0.636619772367581
"S01006541",4,1.27323954473516
"S01006542",2,0.636619772367581
"S01006543",2,0.636619772367581
"S01006544",7,2.22816920328654
"S01006545",6,1.90985931710274
"S01006546",4,1.27323954473516
"S01006547",2,0.636619772367581
"S01006548",2,0.636619772367581
"S01006549",1,0.318309886183791
"S01006550",2,0.636619772367581
"S01006551",2,0.636619772367581
"S01006552",2,0.636619772367581
"S01006553",1,0.318309886183791
"S01006554",0,0
"S01006555",2,0.636619772367581
"S01006556",2,0.636619772367581
"S01006557",1,0.318309886183791
"S01006558",6,1.90985931710274
"S01006559",7,2.22816920328654
"S01006560",6,1.90985931710274
"S01006561",4,1.27323954473516
"S01006562",1,0.318309886183791
"S01006563",3,0.954929658551372
"S01006564",133,42.3352148624442
"S01006565",153,48.70141258612
"S01006566",53,16.8704239677409
"S01006567",120,38.1971863420549
"S01006568",71,22.6000019190491
"S01006569",43,13.687325105903
"S01006570",45,14.3239448782706
"S01006571",46,14.6422547644544
"S01006572",6,1.90985931710274
"S01006573",7,2.22816920328654
"S01006574",7,2.22816920328654
"S01006575",9,2.86478897565412
"S01006576",28,8.91267681314614
"S01006577",20,6.36619772367581
"S01006578",61,19.4169030572112
"S01006579",104,33.1042281631142
"S01006580",45,14.3239448782706
"S01006581",7,2.22816920328654
"S01006582",162,51.5662015617741
"S01006583",136,43.2901445209955
"S01006584",129,41.061975317709
"S01006585",155,49.3380323584876
"S01006586",171,54.4309905374282
"S01006587",171,54.4309905374282
"S01006588",169,53.7943707650606
"S01006589",130,41.3802852038928
"S01006590",170,54.1126806512444
"S01006591",156,49.6563422446713
"S01006592",92,29.2845095289087
"S01006593",154,49.0197224723038
"S01006594",50,15.9154943091895
"S01006595",111,35.3323973664008
"S01006596",119,37.8788764558711
"S01006597",98,31.1943688460115
"S01006598",17,5.41126806512444
"S01006599",1,0.318309886183791
"S01006600",4,1.27323954473516
"S01006601",19,6.04788783749202
"S01006602",26,8.27605704077856
"S01006603",1,0.318309886183791
"S01006604",1,0.318309886183791
"S01006605",0,0
"S01006606",1,0.318309886183791
"S01006607",0,0
"S01006608",0,0
"S01006609",0,0
"S01006610",0,0
"S01006611",1,0.318309886183791
"S01006612",0,0
"S01006613",0,0
"S01006614",1,0.318309886183791
"S01006615",0,0
"S01006616",1,0.318309886183791
"S01006617",2,0.636619772367581
"S01006618",2,0.636619772367581
"S01006619",2,0.636619772367581
"S01006620",4,1.27323954473516
"S01006621",4,1.27323954473516
"S01006622",3,0.954929658551372
"S01006623",1,0.318309886183791
"S01006624",6,1.90985931710274
"S01006625",2,0.636619772367581
"S01006626",4,1.27323954473516
"S01006627",6,1.90985931710274
"S01006628",18,5.72957795130823
"S01006629",2,0.636619772367581
"S01006630",0,0
"S01006631",2,0.636619772367581
"S01006632",3,0.954929658551372
"S01006633",0,0
"S01006634",2,0.636619772367581
"S01006635",3,0.954929658551372
"S01006636",2,0.636619772367581
"S01006637",86,27.374650211806
"S01006638",76,24.1915513499681
"S01006639",122,38.8338061144225
"S01006640",50,15.9154943091895
"S01006641",51,16.2338041953733
"S01006642",73,23.2366216914167
"S01006643",50,15.9154943091895
"S01006644",17,5.41126806512444
"S01006645",96,30.5577490736439
"S01006646",151,48.0647928137524
"S01006647",123,39.1521160006063
"S01006648",156,49.6563422446713
"S01006649",32,10.1859163578813
"S01006650",13,4.13802852038928
"S01006651",20,6.36619772367581
"S01006652",37,11.7774657888003
"S01006653",5,1.59154943091895
"S01006654",3,0.954929658551372
"S01006655",5,1.59154943091895
"S01006656",88,28.0112699841736
"S01006657",8,2.54647908947033
"S01006658",15,4.77464829275686
"S01006659",12,3.81971863420549
"S01006660",7,2.22816920328654
"S01006661",13,4.13802852038928
"S01006662",7,2.22816920328654
"S01006663",14,4.45633840657307
"S01006664",16,5.09295817894065
"S01006665",17,5.41126806512444
"S01006666",9,2.86478897565412
"S01006667",10,3.18309886183791
"S01006668",12,3.81971863420549
"S01006669",10,3.18309886183791
"S01006670",14,4.45633840657307
"S01006671",2,0.636619772367581
"S01006672",9,2.86478897565412
"S01006673",9,2.86478897565412
"S01006674",9,2.86478897565412
"S01006675",3,0.954929658551372
"S01006676",4,1.27323954473516
"S01006677",5,1.59154943091895
"S01006678",1,0.318309886183791
"S01006679",1,0.318309886183791
"S01006680",1,0.318309886183791
"S01006681",0,0
"S01006682",1,0.318309886183791
"S01006683",3,0.954929658551372
"S01006684",2,0.636619772367581
"S01006685",1,0.318309886183791
"S01006686",0,0
"S01006687",0,0
"S01006688",1,0.318309886183791
"S01006689",1,0.318309886183791
"S01006690",1,0.318309886183791
"S01006691",3,0.954929658551372
"S01006692",2,0.636619772367581
"S01006693",2,0.636619772367581
"S01006694",0,0
"S01006695",1,0.318309886183791
"S01006696",0,0
