"CODE","1000alcoholTOTAL2016count","1000alcoholTOTAL2016density"
"S01006506",13,4.13802852038928
"S01006507",10,3.18309886183791
"S01006508",10,3.18309886183791
"S01006509",12,3.81971863420549
"S01006510",12,3.81971863420549
"S01006511",14,4.45633840657307
"S01006512",0,0
"S01006513",0,0
"S01006514",1,0.318309886183791
"S01006515",0,0
"S01006516",0,0
"S01006517",4,1.27323954473516
"S01006518",4,1.27323954473516
"S01006519",4,1.27323954473516
"S01006520",3,0.954929658551372
"S01006521",5,1.59154943091895
"S01006522",5,1.59154943091895
"S01006523",5,1.59154943091895
"S01006524",5,1.59154943091895
"S01006525",7,2.22816920328654
"S01006526",9,2.86478897565412
"S01006527",8,2.54647908947033
"S01006528",10,3.18309886183791
"S01006529",15,4.77464829275686
"S01006530",11,3.5014087480217
"S01006531",11,3.5014087480217
"S01006532",16,5.09295817894065
"S01006533",19,6.04788783749202
"S01006534",29,9.23098669932993
"S01006535",29,9.23098669932993
"S01006536",83,26.4197205532546
"S01006537",13,4.13802852038928
"S01006538",13,4.13802852038928
"S01006539",14,4.45633840657307
"S01006540",11,3.5014087480217
"S01006541",14,4.45633840657307
"S01006542",7,2.22816920328654
"S01006543",8,2.54647908947033
"S01006544",15,4.77464829275686
"S01006545",18,5.72957795130823
"S01006546",13,4.13802852038928
"S01006547",7,2.22816920328654
"S01006548",7,2.22816920328654
"S01006549",12,3.81971863420549
"S01006550",7,2.22816920328654
"S01006551",7,2.22816920328654
"S01006552",12,3.81971863420549
"S01006553",11,3.5014087480217
"S01006554",15,4.77464829275686
"S01006555",19,6.04788783749202
"S01006556",18,5.72957795130823
"S01006557",8,2.54647908947033
"S01006558",23,7.32112738222719
"S01006559",25,7.95774715459477
"S01006560",19,6.04788783749202
"S01006561",12,3.81971863420549
"S01006562",10,3.18309886183791
"S01006563",12,3.81971863420549
"S01006564",251,79.8957814321315
"S01006565",281,89.4450780176452
"S01006566",124,39.47042588679
"S01006567",221,70.3464848466177
"S01006568",132,42.0169049762604
"S01006569",82,26.1014106670708
"S01006570",79,25.1464810085195
"S01006571",85,27.0563403256222
"S01006572",18,5.72957795130823
"S01006573",22,7.0028174960434
"S01006574",22,7.0028174960434
"S01006575",36,11.4591559026165
"S01006576",64,20.3718327157626
"S01006577",54,17.1887338539247
"S01006578",112,35.6507072525846
"S01006579",171,54.4309905374282
"S01006580",88,28.0112699841736
"S01006581",25,7.95774715459477
"S01006582",292,92.9464867656669
"S01006583",238,75.7577529117422
"S01006584",243,77.3493023426611
"S01006585",286,91.0366274485641
"S01006586",322,102.495783351181
"S01006587",305,97.0845152860562
"S01006588",307,97.7211350584237
"S01006589",255,81.1690209768666
"S01006590",305,97.0845152860562
"S01006591",279,88.8084582452776
"S01006592",170,54.1126806512444
"S01006593",275,87.5352187005424
"S01006594",92,29.2845095289087
"S01006595",161,51.2478916755903
"S01006596",205,65.2535266676771
"S01006597",157,49.9746521308551
"S01006598",47,14.9605646506382
"S01006599",13,4.13802852038928
"S01006600",23,7.32112738222719
"S01006601",42,13.3690152197192
"S01006602",55,17.5070437401085
"S01006603",4,1.27323954473516
"S01006604",9,2.86478897565412
"S01006605",9,2.86478897565412
"S01006606",10,3.18309886183791
"S01006607",7,2.22816920328654
"S01006608",1,0.318309886183791
"S01006609",4,1.27323954473516
"S01006610",5,1.59154943091895
"S01006611",7,2.22816920328654
"S01006612",1,0.318309886183791
"S01006613",4,1.27323954473516
"S01006614",5,1.59154943091895
"S01006615",0,0
"S01006616",7,2.22816920328654
"S01006617",8,2.54647908947033
"S01006618",7,2.22816920328654
"S01006619",9,2.86478897565412
"S01006620",10,3.18309886183791
"S01006621",8,2.54647908947033
"S01006622",9,2.86478897565412
"S01006623",4,1.27323954473516
"S01006624",29,9.23098669932993
"S01006625",21,6.6845076098596
"S01006626",22,7.0028174960434
"S01006627",24,7.63943726841098
"S01006628",56,17.8253536262923
"S01006629",21,6.6845076098596
"S01006630",16,5.09295817894065
"S01006631",6,1.90985931710274
"S01006632",19,6.04788783749202
"S01006633",19,6.04788783749202
"S01006634",16,5.09295817894065
"S01006635",17,5.41126806512444
"S01006636",6,1.90985931710274
"S01006637",191,60.797188261104
"S01006638",201,63.9802871229419
"S01006639",243,77.3493023426611
"S01006640",107,34.0591578216656
"S01006641",111,35.3323973664008
"S01006642",178,56.6591597407147
"S01006643",121,38.5154962282387
"S01006644",48,15.278874536822
"S01006645",211,67.1633859847798
"S01006646",294,93.5831065380345
"S01006647",256,81.4873308630504
"S01006648",303,96.4478955136886
"S01006649",100,31.8309886183791
"S01006650",56,17.8253536262923
"S01006651",66,21.0084524881302
"S01006652",119,37.8788764558711
"S01006653",29,9.23098669932993
"S01006654",23,7.32112738222719
"S01006655",31,9.86760647169751
"S01006656",184,58.5690190578175
"S01006657",34,10.8225361302489
"S01006658",61,19.4169030572112
"S01006659",49,15.5971844230057
"S01006660",40,12.7323954473516
"S01006661",45,14.3239448782706
"S01006662",41,13.0507053335354
"S01006663",49,15.5971844230057
"S01006664",58,18.4619733986599
"S01006665",60,19.0985931710274
"S01006666",19,6.04788783749202
"S01006667",23,7.32112738222719
"S01006668",33,10.5042262440651
"S01006669",25,7.95774715459477
"S01006670",35,11.1408460164327
"S01006671",23,7.32112738222719
"S01006672",24,7.63943726841098
"S01006673",22,7.0028174960434
"S01006674",22,7.0028174960434
"S01006675",28,8.91267681314614
"S01006676",27,8.59436692696235
"S01006677",32,10.1859163578813
"S01006678",22,7.0028174960434
"S01006679",21,6.6845076098596
"S01006680",20,6.36619772367581
"S01006681",11,3.5014087480217
"S01006682",25,7.95774715459477
"S01006683",29,9.23098669932993
"S01006684",23,7.32112738222719
"S01006685",22,7.0028174960434
"S01006686",21,6.6845076098596
"S01006687",22,7.0028174960434
"S01006688",23,7.32112738222719
"S01006689",28,8.91267681314614
"S01006690",25,7.95774715459477
"S01006691",26,8.27605704077856
"S01006692",30,9.54929658551372
"S01006693",26,8.27605704077856
"S01006694",17,5.41126806512444
"S01006695",10,3.18309886183791
"S01006696",10,3.18309886183791
"S01006697",9,2.86478897565412
"S01006698",14,4.45633840657307
"S01006699",12,3.81971863420549
"S01006700",13,4.13802852038928
"S01006701",18,5.72957795130823
"S01006702",19,6.04788783749202
"S01006703",18,5.72957795130823
"S01006704",14,4.45633840657307
"S01006705",21,6.6845076098596
"S01006706",17,5.41126806512444
"S01006707",18,5.72957795130823
"S01006708",11,3.5014087480217
"S01006709",7,2.22816920328654
"S01006710",7,2.22816920328654
"S01006711",6,1.90985931710274
"S01006712",13,4.13802852038928
"S01006713",15,4.77464829275686
"S01006714",19,6.04788783749202
"S01006715",17,5.41126806512444
"S01006716",13,4.13802852038928
"S01006717",17,5.41126806512444
"S01006718",12,3.81971863420549
"S01006719",12,3.81971863420549
"S01006720",8,2.54647908947033
"S01006721",9,2.86478897565412
"S01006722",18,5.72957795130823
"S01006723",14,4.45633840657307
"S01006724",14,4.45633840657307
"S01006725",10,3.18309886183791
"S01006726",11,3.5014087480217
"S01006727",14,4.45633840657307
"S01006728",13,4.13802852038928
"S01006729",11,3.5014087480217
"S01006730",12,3.81971863420549
"S01006731",13,4.13802852038928
"S01006732",0,0
"S01006733",1,0.318309886183791
"S01006734",1,0.318309886183791
"S01006735",3,0.954929658551372
"S01006736",1,0.318309886183791
