"CODE","3000alcoholBoth2012count","3000alcoholBoth2012density"
"S01006506",7,0.247574355920726
"S01006507",7,0.247574355920726
"S01006508",7,0.247574355920726
"S01006509",7,0.247574355920726
"S01006510",6,0.212206590789194
"S01006511",6,0.212206590789194
"S01006512",6,0.212206590789194
"S01006513",6,0.212206590789194
"S01006514",8,0.282942121052258
"S01006515",6,0.212206590789194
"S01006516",5,0.176838825657661
"S01006517",11,0.389045416446855
"S01006518",5,0.176838825657661
"S01006519",8,0.282942121052258
"S01006520",4,0.141471060526129
"S01006521",23,0.813458598025243
"S01006522",14,0.495148711841452
"S01006523",13,0.45978094670992
"S01006524",10,0.353677651315323
"S01006525",10,0.353677651315323
"S01006526",33,1.16713624934057
"S01006527",32,1.13176848420903
"S01006528",40,1.41471060526129
"S01006529",97,3.43067321775863
"S01006530",68,2.4050080289442
"S01006531",48,1.69765272631355
"S01006532",124,4.38560287631
"S01006533",111,3.92582192960008
"S01006534",129,4.56244170196767
"S01006535",132,4.66854499736226
"S01006536",142,5.02222264867759
"S01006537",42,1.48544613552436
"S01006538",42,1.48544613552436
"S01006539",105,3.71361533881089
"S01006540",63,2.22816920328654
"S01006541",53,1.87449155197121
"S01006542",38,1.34397507499823
"S01006543",36,1.27323954473516
"S01006544",95,3.35993768749557
"S01006545",101,3.57214427828476
"S01006546",62,2.192801438155
"S01006547",22,0.778090832893711
"S01006548",32,1.13176848420903
"S01006549",56,1.98059484736581
"S01006550",40,1.41471060526129
"S01006551",25,0.884194128288307
"S01006552",28,0.990297423682904
"S01006553",50,1.76838825657661
"S01006554",67,2.36964026381266
"S01006555",26,0.91956189341984
"S01006556",33,1.16713624934057
"S01006557",19,0.671987537499114
"S01006558",148,5.23442923946678
"S01006559",144,5.09295817894065
"S01006560",142,5.02222264867759
"S01006561",140,4.95148711841452
"S01006562",107,3.78435086907396
"S01006563",140,4.95148711841452
"S01006564",147,5.19906147433525
"S01006565",148,5.23442923946678
"S01006566",149,5.26979700459831
"S01006567",149,5.26979700459831
"S01006568",149,5.26979700459831
"S01006569",148,5.23442923946678
"S01006570",147,5.19906147433525
"S01006571",143,5.05759041380912
"S01006572",133,4.7039127624938
"S01006573",143,5.05759041380912
"S01006574",135,4.77464829275686
"S01006575",132,4.66854499736226
"S01006576",136,4.81001605788839
"S01006577",136,4.81001605788839
"S01006578",140,4.95148711841452
"S01006579",141,4.98685488354605
"S01006580",141,4.98685488354605
"S01006581",130,4.5978094670992
"S01006582",140,4.95148711841452
"S01006583",140,4.95148711841452
"S01006584",145,5.12832594407218
"S01006585",145,5.12832594407218
"S01006586",146,5.16369370920372
"S01006587",134,4.73928052762533
"S01006588",135,4.77464829275686
"S01006589",131,4.63317723223073
"S01006590",135,4.77464829275686
"S01006591",136,4.81001605788839
"S01006592",132,4.66854499736226
"S01006593",134,4.73928052762533
"S01006594",136,4.81001605788839
"S01006595",139,4.91611935328299
"S01006596",133,4.7039127624938
"S01006597",140,4.95148711841452
"S01006598",131,4.63317723223073
"S01006599",118,4.17339628552081
"S01006600",129,4.56244170196767
"S01006601",134,4.73928052762533
"S01006602",131,4.63317723223073
"S01006603",31,1.0964007190775
"S01006604",79,2.79405344539105
"S01006605",92,3.25383439210097
"S01006606",106,3.74898310394242
"S01006607",104,3.67824757367936
"S01006608",4,0.141471060526129
"S01006609",66,2.33427249868113
"S01006610",50,1.76838825657661
"S01006611",39,1.37934284012976
"S01006612",21,0.742723067762178
"S01006613",4,0.141471060526129
"S01006614",4,0.141471060526129
"S01006615",4,0.141471060526129
"S01006616",4,0.141471060526129
"S01006617",4,0.141471060526129
"S01006618",4,0.141471060526129
"S01006619",4,0.141471060526129
"S01006620",5,0.176838825657661
"S01006621",6,0.212206590789194
"S01006622",6,0.212206590789194
"S01006623",69,2.44037579407573
"S01006624",126,4.45633840657307
"S01006625",122,4.31486734604694
"S01006626",124,4.38560287631
"S01006627",125,4.42097064144154
"S01006628",126,4.45633840657307
"S01006629",124,4.38560287631
"S01006630",120,4.24413181578388
"S01006631",115,4.06729299012621
"S01006632",122,4.31486734604694
"S01006633",118,4.17339628552081
"S01006634",118,4.17339628552081
"S01006635",120,4.24413181578388
"S01006636",110,3.89045416446855
"S01006637",134,4.73928052762533
"S01006638",136,4.81001605788839
"S01006639",137,4.84538382301993
"S01006640",131,4.63317723223073
"S01006641",135,4.77464829275686
"S01006642",139,4.91611935328299
"S01006643",137,4.84538382301993
"S01006644",135,4.77464829275686
"S01006645",143,5.05759041380912
"S01006646",141,4.98685488354605
"S01006647",140,4.95148711841452
"S01006648",145,5.12832594407218
"S01006649",146,5.16369370920372
"S01006650",148,5.23442923946678
"S01006651",148,5.23442923946678
"S01006652",148,5.23442923946678
"S01006653",148,5.23442923946678
"S01006654",145,5.12832594407218
"S01006655",150,5.30516476972984
"S01006656",148,5.23442923946678
"S01006657",145,5.12832594407218
"S01006658",143,5.05759041380912
"S01006659",145,5.12832594407218
"S01006660",141,4.98685488354605
"S01006661",141,4.98685488354605
"S01006662",140,4.95148711841452
"S01006663",138,4.88075158815146
"S01006664",141,4.98685488354605
"S01006665",140,4.95148711841452
"S01006666",116,4.10266075525775
"S01006667",127,4.4917061717046
"S01006668",133,4.7039127624938
"S01006669",128,4.52707393683613
"S01006670",136,4.81001605788839
"S01006671",68,2.4050080289442
"S01006672",120,4.24413181578388
"S01006673",113,3.99655745986315
"S01006674",110,3.89045416446855
"S01006675",101,3.57214427828476
"S01006676",86,3.04162780131178
"S01006677",128,4.52707393683613
"S01006678",53,1.87449155197121
"S01006679",52,1.83912378683968
"S01006680",44,1.55618166578742
"S01006681",33,1.16713624934057
"S01006682",111,3.92582192960008
"S01006683",130,4.5978094670992
"S01006684",82,2.90015674078565
"S01006685",44,1.55618166578742
"S01006686",47,1.66228496118202
"S01006687",52,1.83912378683968
"S01006688",101,3.57214427828476
"S01006689",132,4.66854499736226
"S01006690",116,4.10266075525775
"S01006691",144,5.09295817894065
"S01006692",137,4.84538382301993
"S01006693",75,2.65258238486492
"S01006694",78,2.75868568025952
"S01006695",113,3.99655745986315
"S01006696",95,3.35993768749557
"S01006697",113,3.99655745986315
"S01006698",93,3.2892021572325
"S01006699",134,4.73928052762533
"S01006700",135,4.77464829275686
"S01006701",26,0.91956189341984
"S01006702",36,1.27323954473516
"S01006703",35,1.23787177960363
"S01006704",28,0.990297423682904
"S01006705",39,1.37934284012976
"S01006706",47,1.66228496118202
"S01006707",66,2.33427249868113
"S01006708",25,0.884194128288307
"S01006709",23,0.813458598025243
"S01006710",21,0.742723067762178
"S01006711",22,0.778090832893711
"S01006712",27,0.954929658551372
"S01006713",31,1.0964007190775
"S01006714",50,1.76838825657661
"S01006715",39,1.37934284012976
"S01006716",49,1.73302049144508
"S01006717",38,1.34397507499823
"S01006718",57,2.01596261249734
"S01006719",28,0.990297423682904
"S01006720",28,0.990297423682904
"S01006721",28,0.990297423682904
"S01006722",35,1.23787177960363
"S01006723",34,1.2025040144721
"S01006724",33,1.16713624934057
"S01006725",31,1.0964007190775
"S01006726",36,1.27323954473516
"S01006727",35,1.23787177960363
"S01006728",31,1.0964007190775
"S01006729",41,1.45007837039282
"S01006730",29,1.02566518881444
"S01006731",28,0.990297423682904
"S01006732",8,0.282942121052258
"S01006733",5,0.176838825657661
"S01006734",2,0.0707355302630646
"S01006735",4,0.141471060526129
"S01006736",8,0.282942121052258
"S01006737",4,0.141471060526129
"S01006738",25,0.884194128288307
"S01006739",32,1.13176848420903
"S01006740",19,0.671987537499114
"S01006741",17,0.601252007236049
"S01006742",17,0.601252007236049
"S01006743",19,0.671987537499114
"S01006744",20,0.707355302630646
"S01006745",19,0.671987537499114
"S01006746",19,0.671987537499114
"S01006747",18,0.636619772367581
"S01006748",17,0.601252007236049
"S01006749",10,0.353677651315323
"S01006750",9,0.318309886183791
"S01006751",10,0.353677651315323
"S01006752",10,0.353677651315323
"S01006753",12,0.424413181578388
"S01006754",17,0.601252007236049
"S01006755",9,0.318309886183791
"S01006756",38,1.34397507499823
"S01006757",32,1.13176848420903
"S01006758",32,1.13176848420903
"S01006759",34,1.2025040144721
"S01006760",33,1.16713624934057
"S01006761",27,0.954929658551372
"S01006762",20,0.707355302630646
"S01006763",9,0.318309886183791
"S01006764",17,0.601252007236049
"S01006765",17,0.601252007236049
"S01006766",9,0.318309886183791
"S01006767",25,0.884194128288307
"S01006768",29,1.02566518881444
"S01006769",25,0.884194128288307
"S01006770",25,0.884194128288307
"S01006771",21,0.742723067762178
"S01006772",23,0.813458598025243
"S01006773",23,0.813458598025243
"S01006774",20,0.707355302630646
"S01006775",32,1.13176848420903
"S01006776",29,1.02566518881444
"S01006777",28,0.990297423682904
"S01006778",30,1.06103295394597
"S01006779",31,1.0964007190775
"S01006780",31,1.0964007190775
"S01006781",28,0.990297423682904
"S01006782",27,0.954929658551372
"S01006783",28,0.990297423682904
"S01006784",31,1.0964007190775
"S01006785",11,0.389045416446855
"S01006786",14,0.495148711841452
"S01006787",20,0.707355302630646
"S01006788",11,0.389045416446855
"S01006789",7,0.247574355920726
"S01006790",7,0.247574355920726
"S01006791",1,0.0353677651315323
"S01006792",8,0.282942121052258
"S01006793",3,0.106103295394597
"S01006794",3,0.106103295394597
"S01006795",3,0.106103295394597
"S01006796",3,0.106103295394597
"S01006797",3,0.106103295394597
"S01006798",1,0.0353677651315323
"S01006799",3,0.106103295394597
"S01006800",9,0.318309886183791
"S01006801",3,0.106103295394597
"S01006802",1,0.0353677651315323
"S01006803",3,0.106103295394597
"S01006804",3,0.106103295394597
"S01006805",3,0.106103295394597
"S01006806",2,0.0707355302630646
"S01006807",3,0.106103295394597
"S01006808",0,0
"S01006809",0,0
"S01006810",2,0.0707355302630646
"S01006811",1,0.0353677651315323
"S01006812",1,0.0353677651315323
"S01006813",5,0.176838825657661
"S01006814",5,0.176838825657661
"S01006815",5,0.176838825657661
"S01006816",5,0.176838825657661
"S01006817",4,0.141471060526129
"S01006818",1,0.0353677651315323
"S01006819",0,0
"S01006820",1,0.0353677651315323
"S01006821",1,0.0353677651315323
"S01006822",1,0.0353677651315323
"S01006823",9,0.318309886183791
"S01006824",9,0.318309886183791
"S01006825",9,0.318309886183791
"S01006826",9,0.318309886183791
"S01006827",9,0.318309886183791
"S01006828",9,0.318309886183791
"S01006829",9,0.318309886183791
"S01006830",9,0.318309886183791
"S01006831",9,0.318309886183791
"S01006832",9,0.318309886183791
"S01006833",10,0.353677651315323
"S01006834",10,0.353677651315323
"S01006835",10,0.353677651315323
"S01006836",10,0.353677651315323
"S01006837",9,0.318309886183791
"S01006838",9,0.318309886183791
"S01006839",2,0.0707355302630646
"S01006840",1,0.0353677651315323
"S01006841",2,0.0707355302630646
"S01006842",5,0.176838825657661
"S01006843",6,0.212206590789194
"S01006844",6,0.212206590789194
"S01006845",6,0.212206590789194
"S01006846",6,0.212206590789194
"S01006847",6,0.212206590789194
"S01006848",8,0.282942121052258
"S01006849",5,0.176838825657661
"S01006850",5,0.176838825657661
"S01006851",5,0.176838825657661
"S01006852",5,0.176838825657661
"S01006853",6,0.212206590789194
"S01006854",2,0.0707355302630646
"S01006855",0,0
"S01006856",1,0.0353677651315323
"S01006857",0,0
"S01006858",1,0.0353677651315323
"S01006859",13,0.45978094670992
"S01006860",13,0.45978094670992
"S01006861",12,0.424413181578388
"S01006862",13,0.45978094670992
"S01006863",12,0.424413181578388
"S01006864",12,0.424413181578388
"S01006865",13,0.45978094670992
"S01006866",13,0.45978094670992
"S01006867",13,0.45978094670992
"S01006868",13,0.45978094670992
"S01006869",2,0.0707355302630646
"S01006870",2,0.0707355302630646
"S01006871",2,0.0707355302630646
"S01006872",12,0.424413181578388
"S01006873",7,0.247574355920726
"S01006874",2,0.0707355302630646
"S01006875",3,0.106103295394597
"S01006876",2,0.0707355302630646
"S01006877",0,0
"S01006878",1,0.0353677651315323
"S01006879",0,0
"S01006880",0,0
"S01006881",0,0
"S01006882",4,0.141471060526129
"S01006883",4,0.141471060526129
"S01006884",4,0.141471060526129
"S01006885",4,0.141471060526129
"S01006886",1,0.0353677651315323
"S01006887",4,0.141471060526129
"S01006888",1,0.0353677651315323
"S01006889",3,0.106103295394597
"S01006890",3,0.106103295394597
"S01006891",3,0.106103295394597
"S01006892",3,0.106103295394597
"S01006893",3,0.106103295394597
"S01006894",17,0.601252007236049
"S01006895",17,0.601252007236049
"S01006896",17,0.601252007236049
"S01006897",17,0.601252007236049
"S01006898",17,0.601252007236049
"S01006899",14,0.495148711841452
"S01006900",17,0.601252007236049
"S01006901",17,0.601252007236049
"S01006902",19,0.671987537499114
"S01006903",19,0.671987537499114
"S01006904",19,0.671987537499114
"S01006905",19,0.671987537499114
"S01006906",18,0.636619772367581
"S01006907",17,0.601252007236049
"S01006908",17,0.601252007236049
"S01006909",17,0.601252007236049
"S01006910",3,0.106103295394597
"S01006911",17,0.601252007236049
"S01006912",16,0.565884242104517
"S01006913",14,0.495148711841452
"S01006914",0,0
"S01006915",0,0
"S01006916",3,0.106103295394597
"S01006917",4,0.141471060526129
"S01006918",4,0.141471060526129
"S01006919",4,0.141471060526129
"S01006920",4,0.141471060526129
"S01006921",5,0.176838825657661
"S01006922",2,0.0707355302630646
"S01006923",5,0.176838825657661
"S01006924",0,0
"S01006925",1,0.0353677651315323
"S01006926",1,0.0353677651315323
"S01006927",1,0.0353677651315323
"S01006928",1,0.0353677651315323
"S01006929",6,0.212206590789194
"S01006930",5,0.176838825657661
"S01006931",4,0.141471060526129
"S01006932",6,0.212206590789194
"S01006933",6,0.212206590789194
"S01006934",6,0.212206590789194
"S01006935",5,0.176838825657661
"S01006936",5,0.176838825657661
"S01006937",6,0.212206590789194
"S01006938",6,0.212206590789194
"S01006939",6,0.212206590789194
"S01006940",6,0.212206590789194
"S01006941",6,0.212206590789194
"S01006942",6,0.212206590789194
"S01006943",6,0.212206590789194
"S01006944",6,0.212206590789194
"S01006945",6,0.212206590789194
"S01006946",2,0.0707355302630646
"S01006947",1,0.0353677651315323
"S01006948",2,0.0707355302630646
"S01006949",1,0.0353677651315323
"S01006950",1,0.0353677651315323
"S01006951",2,0.0707355302630646
"S01006952",1,0.0353677651315323
"S01006953",2,0.0707355302630646
"S01006954",3,0.106103295394597
"S01006955",2,0.0707355302630646
