"CODE","5000tobaccoTOTAL2016count","5000tobaccoTOTAL2016density"
"S01006506",7,0.0891267681314614
"S01006507",7,0.0891267681314614
"S01006508",7,0.0891267681314614
"S01006509",7,0.0891267681314614
"S01006510",7,0.0891267681314614
"S01006511",7,0.0891267681314614
"S01006512",11,0.140056349920868
"S01006513",13,0.165521140815571
"S01006514",12,0.15278874536822
"S01006515",13,0.165521140815571
"S01006516",14,0.178253536262923
"S01006517",70,0.891267681314614
"S01006518",37,0.47109863155201
"S01006519",49,0.62388737692023
"S01006520",34,0.432901445209955
"S01006521",211,2.68653543939119
"S01006522",111,1.41329589465603
"S01006523",89,1.13318319481429
"S01006524",65,0.827605704077856
"S01006525",56,0.713014145051691
"S01006526",241,3.06850730281174
"S01006527",241,3.06850730281174
"S01006528",249,3.17036646639056
"S01006529",268,3.41228197989024
"S01006530",254,3.23402844362731
"S01006531",250,3.18309886183791
"S01006532",278,3.53960593436375
"S01006533",284,3.61600030704786
"S01006534",285,3.62873270249521
"S01006535",286,3.64146509794257
"S01006536",288,3.66692988883727
"S01006537",261,3.32315521175877
"S01006538",259,3.29769042086407
"S01006539",282,3.59053551615316
"S01006540",271,3.45047916623229
"S01006541",274,3.48867635257435
"S01006542",269,3.42501437533759
"S01006543",262,3.33588760720613
"S01006544",288,3.66692988883727
"S01006545",282,3.59053551615316
"S01006546",280,3.56507072525846
"S01006547",238,3.03031011646969
"S01006548",267,3.39954958444288
"S01006549",289,3.67966228428462
"S01006550",279,3.5523383298111
"S01006551",258,3.28495802541672
"S01006552",278,3.53960593436375
"S01006553",291,3.70512707517932
"S01006554",298,3.79425384331078
"S01006555",268,3.41228197989024
"S01006556",290,3.69239467973197
"S01006557",238,3.03031011646969
"S01006558",299,3.80698623875814
"S01006559",296,3.76878905241608
"S01006560",299,3.80698623875814
"S01006561",298,3.79425384331078
"S01006562",300,3.81971863420549
"S01006563",299,3.80698623875814
"S01006564",291,3.70512707517932
"S01006565",291,3.70512707517932
"S01006566",291,3.70512707517932
"S01006567",291,3.70512707517932
"S01006568",291,3.70512707517932
"S01006569",295,3.75605665696873
"S01006570",294,3.74332426152138
"S01006571",292,3.71785947062668
"S01006572",296,3.76878905241608
"S01006573",295,3.75605665696873
"S01006574",292,3.71785947062668
"S01006575",286,3.64146509794257
"S01006576",288,3.66692988883727
"S01006577",292,3.71785947062668
"S01006578",290,3.69239467973197
"S01006579",290,3.69239467973197
"S01006580",292,3.71785947062668
"S01006581",284,3.61600030704786
"S01006582",287,3.65419749338992
"S01006583",291,3.70512707517932
"S01006584",292,3.71785947062668
"S01006585",289,3.67966228428462
"S01006586",287,3.65419749338992
"S01006587",282,3.59053551615316
"S01006588",287,3.65419749338992
"S01006589",284,3.61600030704786
"S01006590",285,3.62873270249521
"S01006591",284,3.61600030704786
"S01006592",275,3.5014087480217
"S01006593",282,3.59053551615316
"S01006594",287,3.65419749338992
"S01006595",290,3.69239467973197
"S01006596",285,3.62873270249521
"S01006597",289,3.67966228428462
"S01006598",271,3.45047916623229
"S01006599",274,3.48867635257435
"S01006600",279,3.5523383298111
"S01006601",284,3.61600030704786
"S01006602",281,3.57780312070581
"S01006603",226,2.87752137110147
"S01006604",239,3.04304251191704
"S01006605",233,2.96664813923293
"S01006606",256,3.25949323452202
"S01006607",239,3.04304251191704
"S01006608",66,0.840338099525207
"S01006609",224,2.85205658020676
"S01006610",227,2.89025376654882
"S01006611",228,2.90298616199617
"S01006612",212,2.69926783483854
"S01006613",76,0.967662053998724
"S01006614",60,0.763943726841098
"S01006615",63,0.802140913183153
"S01006616",61,0.776676122288449
"S01006617",66,0.840338099525207
"S01006618",99,1.26050714928781
"S01006619",137,1.74433817628717
"S01006620",150,1.90985931710274
"S01006621",166,2.11357764426037
"S01006622",151,1.9225917125501
"S01006623",218,2.77566220752265
"S01006624",260,3.31042281631142
"S01006625",251,3.19583125728526
"S01006626",253,3.22129604817996
"S01006627",254,3.23402844362731
"S01006628",261,3.32315521175877
"S01006629",250,3.18309886183791
"S01006630",240,3.05577490736439
"S01006631",238,3.03031011646969
"S01006632",250,3.18309886183791
"S01006633",239,3.04304251191704
"S01006634",239,3.04304251191704
"S01006635",246,3.1321692800485
"S01006636",229,2.91571855744352
"S01006637",279,3.5523383298111
"S01006638",284,3.61600030704786
"S01006639",285,3.62873270249521
"S01006640",271,3.45047916623229
"S01006641",277,3.5268735389164
"S01006642",285,3.62873270249521
"S01006643",282,3.59053551615316
"S01006644",278,3.53960593436375
"S01006645",290,3.69239467973197
"S01006646",289,3.67966228428462
"S01006647",288,3.66692988883727
"S01006648",290,3.69239467973197
"S01006649",289,3.67966228428462
"S01006650",289,3.67966228428462
"S01006651",289,3.67966228428462
"S01006652",289,3.67966228428462
"S01006653",295,3.75605665696873
"S01006654",296,3.76878905241608
"S01006655",295,3.75605665696873
"S01006656",291,3.70512707517932
"S01006657",293,3.73059186607403
"S01006658",287,3.65419749338992
"S01006659",287,3.65419749338992
"S01006660",290,3.69239467973197
"S01006661",285,3.62873270249521
"S01006662",289,3.67966228428462
"S01006663",283,3.60326791160051
"S01006664",284,3.61600030704786
"S01006665",284,3.61600030704786
"S01006666",263,3.34862000265348
"S01006667",272,3.46321156167964
"S01006668",272,3.46321156167964
"S01006669",272,3.46321156167964
"S01006670",274,3.48867635257435
"S01006671",261,3.32315521175877
"S01006672",269,3.42501437533759
"S01006673",266,3.38681718899553
"S01006674",265,3.37408479354818
"S01006675",286,3.64146509794257
"S01006676",285,3.62873270249521
"S01006677",287,3.65419749338992
"S01006678",281,3.57780312070581
"S01006679",282,3.59053551615316
"S01006680",280,3.56507072525846
"S01006681",272,3.46321156167964
"S01006682",288,3.66692988883727
"S01006683",289,3.67966228428462
"S01006684",287,3.65419749338992
"S01006685",276,3.51414114346905
"S01006686",283,3.60326791160051
"S01006687",283,3.60326791160051
"S01006688",294,3.74332426152138
"S01006689",291,3.70512707517932
"S01006690",291,3.70512707517932
"S01006691",294,3.74332426152138
"S01006692",293,3.73059186607403
"S01006693",287,3.65419749338992
"S01006694",299,3.80698623875814
"S01006695",297,3.78152144786343
"S01006696",294,3.74332426152138
"S01006697",296,3.76878905241608
"S01006698",296,3.76878905241608
"S01006699",296,3.76878905241608
"S01006700",296,3.76878905241608
"S01006701",268,3.41228197989024
"S01006702",280,3.56507072525846
"S01006703",283,3.60326791160051
"S01006704",272,3.46321156167964
"S01006705",294,3.74332426152138
"S01006706",296,3.76878905241608
"S01006707",298,3.79425384331078
"S01006708",250,3.18309886183791
"S01006709",234,2.97938053468028
"S01006710",198,2.52101429857562
"S01006711",214,2.72473262573325
"S01006712",255,3.24676083907466
"S01006713",273,3.47594395712699
"S01006714",294,3.74332426152138
"S01006715",280,3.56507072525846
"S01006716",292,3.71785947062668
"S01006717",286,3.64146509794257
"S01006718",291,3.70512707517932
"S01006719",244,3.1067044891538
"S01006720",227,2.89025376654882
"S01006721",256,3.25949323452202
"S01006722",274,3.48867635257435
"S01006723",273,3.47594395712699
"S01006724",266,3.38681718899553
"S01006725",261,3.32315521175877
"S01006726",275,3.5014087480217
"S01006727",271,3.45047916623229
"S01006728",259,3.29769042086407
"S01006729",277,3.5268735389164
"S01006730",245,3.11943688460115
"S01006731",216,2.75019741662795
"S01006732",70,0.891267681314614
"S01006733",66,0.840338099525207
"S01006734",58,0.738478935946394
"S01006735",62,0.789408517735801
"S01006736",71,0.904000076761965
"S01006737",61,0.776676122288449
"S01006738",148,1.88439452620804
"S01006739",201,2.55921148491768
"S01006740",116,1.47695787189279
"S01006741",102,1.29870433562987
"S01006742",104,1.32416912652457
"S01006743",86,1.09498600847224
"S01006744",100,1.27323954473516
"S01006745",101,1.28597194018251
"S01006746",96,1.22230996294576
"S01006747",92,1.17138038115635
"S01006748",61,0.776676122288449
"S01006749",45,0.572957795130823
"S01006750",35,0.445633840657307
"S01006751",36,0.458366236104659
"S01006752",38,0.483831026999362
"S01006753",43,0.54749300423612
"S01006754",50,0.636619772367581
"S01006755",31,0.3947042588679
"S01006756",271,3.45047916623229
"S01006757",244,3.1067044891538
"S01006758",252,3.20856365273261
"S01006759",263,3.34862000265348
"S01006760",240,3.05577490736439
"S01006761",192,2.44461992589151
"S01006762",142,1.80800015352393
"S01006763",92,1.17138038115635
"S01006764",119,1.51515505823484
"S01006765",112,1.42602829010338
"S01006766",95,1.2095775674984
"S01006767",177,2.25363399418124
"S01006768",236,3.00484532557498
"S01006769",209,2.66107064849649
"S01006770",172,2.18997201694448
"S01006771",127,1.61701422181366
"S01006772",174,2.21543680783918
"S01006773",142,1.80800015352393
"S01006774",120,1.5278874536822
"S01006775",264,3.36135239810083
"S01006776",244,3.1067044891538
"S01006777",228,2.90298616199617
"S01006778",236,3.00484532557498
"S01006779",238,3.03031011646969
"S01006780",249,3.17036646639056
"S01006781",220,2.80112699841736
"S01006782",210,2.67380304394384
"S01006783",229,2.91571855744352
"S01006784",241,3.06850730281174
"S01006785",74,0.94219726310402
"S01006786",102,1.29870433562987
"S01006787",132,1.68067619905041
"S01006788",60,0.763943726841098
"S01006789",5,0.0636619772367581
"S01006790",4,0.0509295817894065
"S01006791",2,0.0254647908947033
"S01006792",5,0.0636619772367581
"S01006793",2,0.0254647908947033
"S01006794",4,0.0509295817894065
"S01006795",4,0.0509295817894065
"S01006796",4,0.0509295817894065
"S01006797",4,0.0509295817894065
"S01006798",0,0
"S01006799",4,0.0509295817894065
"S01006800",9,0.114591559026165
"S01006801",3,0.0381971863420549
"S01006802",1,0.0127323954473516
"S01006803",3,0.0381971863420549
"S01006804",3,0.0381971863420549
"S01006805",3,0.0381971863420549
"S01006806",2,0.0254647908947033
"S01006807",5,0.0636619772367581
"S01006808",3,0.0381971863420549
"S01006809",2,0.0254647908947033
"S01006810",4,0.0509295817894065
"S01006811",0,0
"S01006812",0,0
"S01006813",8,0.101859163578813
"S01006814",6,0.0763943726841098
"S01006815",6,0.0763943726841098
"S01006816",6,0.0763943726841098
"S01006817",6,0.0763943726841098
"S01006818",3,0.0381971863420549
"S01006819",10,0.127323954473516
"S01006820",4,0.0509295817894065
"S01006821",6,0.0763943726841098
"S01006822",12,0.15278874536822
"S01006823",12,0.15278874536822
"S01006824",12,0.15278874536822
"S01006825",12,0.15278874536822
"S01006826",12,0.15278874536822
"S01006827",12,0.15278874536822
"S01006828",12,0.15278874536822
"S01006829",12,0.15278874536822
