"CODE","1200alcoholTOTAL2012count","1200alcoholTOTAL2012density"
"S01006506",12,2.65258238486492
"S01006507",11,2.43153385279285
"S01006508",12,2.65258238486492
"S01006509",11,2.43153385279285
"S01006510",13,2.873630916937
"S01006511",13,2.873630916937
"S01006512",0,0
"S01006513",1,0.221048532072077
"S01006514",2,0.442097064144154
"S01006515",1,0.221048532072077
"S01006516",0,0
"S01006517",6,1.32629119243246
"S01006518",3,0.663145596216231
"S01006519",3,0.663145596216231
"S01006520",3,0.663145596216231
"S01006521",10,2.21048532072077
"S01006522",8,1.76838825657661
"S01006523",7,1.54733972450454
"S01006524",10,2.21048532072077
"S01006525",9,1.98943678864869
"S01006526",12,2.65258238486492
"S01006527",13,2.873630916937
"S01006528",14,3.09467944900908
"S01006529",19,4.19992210936946
"S01006530",15,3.31572798108115
"S01006531",13,2.873630916937
"S01006532",32,7.07355302630646
"S01006533",28,6.18935889801815
"S01006534",44,9.72613541117138
"S01006535",66,14.5892031167571
"S01006536",134,29.6205032976583
"S01006537",18,3.97887357729738
"S01006538",16,3.53677651315323
"S01006539",26,5.747261833874
"S01006540",22,4.86306770558569
"S01006541",20,4.42097064144154
"S01006542",13,2.873630916937
"S01006543",15,3.31572798108115
"S01006544",29,6.41040743009023
"S01006545",28,6.18935889801815
"S01006546",20,4.42097064144154
"S01006547",9,1.98943678864869
"S01006548",10,2.21048532072077
"S01006549",20,4.42097064144154
"S01006550",13,2.873630916937
"S01006551",12,2.65258238486492
"S01006552",20,4.42097064144154
"S01006553",19,4.19992210936946
"S01006554",19,4.19992210936946
"S01006555",20,4.42097064144154
"S01006556",20,4.42097064144154
"S01006557",12,2.65258238486492
"S01006558",81,17.9049310978382
"S01006559",79,17.4628340336941
"S01006560",30,6.63145596216231
"S01006561",33,7.29460155837854
"S01006562",21,4.64201917351361
"S01006563",27,5.96831036594608
"S01006564",320,70.7355302630646
"S01006565",324,71.6197243913529
"S01006566",219,48.4096285237848
"S01006567",287,63.4409287046861
"S01006568",229,50.6201138445056
"S01006569",152,33.5993768749557
"S01006570",138,30.5046974259466
"S01006571",144,31.8309886183791
"S01006572",28,6.18935889801815
"S01006573",41,9.06298981495515
"S01006574",41,9.06298981495515
"S01006575",58,12.8208148601805
"S01006576",108,23.8732414637843
"S01006577",94,20.7785620147752
"S01006578",185,40.8939784333342
"S01006579",241,53.2726962293705
"S01006580",137,30.2836488938745
"S01006581",37,8.17879568666684
"S01006582",327,72.2828699875691
"S01006583",288,63.6619772367581
"S01006584",308,68.0829478781997
"S01006585",323,71.3986758592808
"S01006586",340,75.1565009045061
"S01006587",326,72.0618214554971
"S01006588",328,72.5039185196412
"S01006589",292,64.5461713650464
"S01006590",325,71.840772923425
"S01006591",306,67.6408508140555
"S01006592",261,57.6936668708121
"S01006593",295,65.2093169612627
"S01006594",155,34.2625224711719
"S01006595",243,53.7147932935147
"S01006596",270,59.6831036594607
"S01006597",226,49.9569682482894
"S01006598",165,36.4730077918927
"S01006599",24,5.30516476972984
"S01006600",34,7.51565009045061
"S01006601",109,24.0942899958564
"S01006602",157,34.7046195353161
"S01006603",8,1.76838825657661
"S01006604",10,2.21048532072077
"S01006605",10,2.21048532072077
"S01006606",13,2.873630916937
"S01006607",9,1.98943678864869
"S01006608",2,0.442097064144154
"S01006609",8,1.76838825657661
"S01006610",8,1.76838825657661
"S01006611",9,1.98943678864869
"S01006612",8,1.76838825657661
"S01006613",7,1.54733972450454
"S01006614",6,1.32629119243246
"S01006615",0,0
"S01006616",6,1.32629119243246
"S01006617",7,1.54733972450454
"S01006618",9,1.98943678864869
"S01006619",10,2.21048532072077
"S01006620",10,2.21048532072077
"S01006621",11,2.43153385279285
"S01006622",10,2.21048532072077
"S01006623",8,1.76838825657661
"S01006624",53,11.7155721998201
"S01006625",27,5.96831036594608
"S01006626",32,7.07355302630646
"S01006627",51,11.2734751356759
"S01006628",106,23.4311443996401
"S01006629",23,5.08411623765777
"S01006630",19,4.19992210936946
"S01006631",17,3.75782504522531
"S01006632",26,5.747261833874
"S01006633",19,4.19992210936946
"S01006634",18,3.97887357729738
"S01006635",22,4.86306770558569
"S01006636",12,2.65258238486492
"S01006637",239,52.8305991652264
"S01006638",248,54.8200359538751
"S01006639",268,59.2410065953166
"S01006640",175,38.6834931126134
"S01006641",178,39.3466387088297
"S01006642",258,57.0305212745958
"S01006643",181,40.0097843050459
"S01006644",109,24.0942899958564
"S01006645",286,63.219880172614
"S01006646",321,70.9565787951367
"S01006647",301,66.5356081536951
"S01006648",328,72.5039185196412
"S01006649",178,39.3466387088297
"S01006650",89,19.6733193544148
"S01006651",121,26.7468723807213
"S01006652",210,46.4201917351361
"S01006653",54,11.9366207318922
"S01006654",46,10.1682324753155
"S01006655",56,12.3787177960363
"S01006656",276,61.0093948518932
"S01006657",50,11.0524266036038
"S01006658",97,21.4417076109915
"S01006659",71,15.6944457771175
"S01006660",55,12.1576692639642
"S01006661",64,14.1471060526129
"S01006662",54,11.9366207318922
"S01006663",68,15.0313001809012
"S01006664",82,18.1259796299103
"S01006665",87,19.2312222902707
