"CODE","4000tobaccoTOTAL2016count","4000tobaccoTOTAL2016density"
"S01006506",6,0.119366207318922
"S01006507",6,0.119366207318922
"S01006508",6,0.119366207318922
"S01006509",6,0.119366207318922
"S01006510",6,0.119366207318922
"S01006511",7,0.139260575205408
"S01006512",6,0.119366207318922
"S01006513",11,0.218838046751356
"S01006514",7,0.139260575205408
"S01006515",12,0.238732414637843
"S01006516",11,0.218838046751356
"S01006517",35,0.696302876027042
"S01006518",14,0.278521150410817
"S01006519",16,0.318309886183791
"S01006520",12,0.238732414637843
"S01006521",85,1.69102127035139
"S01006522",56,1.11408460164327
"S01006523",47,0.935035290664885
"S01006524",29,0.576936668708121
"S01006525",20,0.397887357729738
"S01006526",161,3.20299322972439
"S01006527",164,3.26267633338385
"S01006528",188,3.74014116265954
"S01006529",230,4.57570461389199
"S01006530",209,4.15792288827577
"S01006531",190,3.77992989843251
"S01006532",242,4.81443702852983
"S01006533",243,4.83433139641632
"S01006534",250,4.97359197162173
"S01006535",247,4.91390886796227
"S01006536",260,5.1725356504866
"S01006537",192,3.81971863420549
"S01006538",193,3.83961300209197
"S01006539",241,4.79454266064335
"S01006540",223,4.43644403868658
"S01006541",220,4.37676093502712
"S01006542",179,3.56109185168116
"S01006543",157,3.12341575817845
"S01006544",257,5.11285254682714
"S01006545",248,4.93380323584876
"S01006546",236,4.69507082121091
"S01006547",112,2.22816920328654
"S01006548",161,3.20299322972439
"S01006549",242,4.81443702852983
"S01006550",199,3.9589792094109
"S01006551",131,2.60616219312979
"S01006552",196,3.89929610575144
"S01006553",244,4.85422576430281
"S01006554",251,4.99348633950822
"S01006555",167,3.32235943704332
"S01006556",227,4.51602151023253
"S01006557",105,2.08890862808113
"S01006558",281,5.59031737610282
"S01006559",276,5.49084553667039
"S01006560",278,5.53063427244336
"S01006561",277,5.51073990455688
"S01006562",269,5.35158496146498
"S01006563",281,5.59031737610282
"S01006564",276,5.49084553667039
"S01006565",273,5.43116243301093
"S01006566",279,5.55052864032985
"S01006567",279,5.55052864032985
"S01006568",280,5.57042300821634
"S01006569",280,5.57042300821634
"S01006570",278,5.53063427244336
"S01006571",275,5.4709511687839
"S01006572",277,5.51073990455688
"S01006573",276,5.49084553667039
"S01006574",274,5.45105680089742
"S01006575",264,5.25211312203255
"S01006576",272,5.41126806512444
"S01006577",278,5.53063427244336
"S01006578",269,5.35158496146498
"S01006579",265,5.27200748991903
"S01006580",275,5.4709511687839
"S01006581",259,5.15264128260011
"S01006582",260,5.1725356504866
"S01006583",263,5.23221875414606
