"CODE","5000alcoholOn2016count","5000alcoholOn2016density"
"S01006506",5,0.0636619772367581
"S01006507",5,0.0636619772367581
"S01006508",5,0.0636619772367581
"S01006509",5,0.0636619772367581
"S01006510",5,0.0636619772367581
"S01006511",5,0.0636619772367581
"S01006512",5,0.0636619772367581
"S01006513",6,0.0763943726841098
"S01006514",6,0.0763943726841098
"S01006515",6,0.0763943726841098
"S01006516",6,0.0763943726841098
"S01006517",20,0.254647908947033
"S01006518",14,0.178253536262923
"S01006519",15,0.190985931710274
"S01006520",12,0.15278874536822
"S01006521",172,2.18997201694448
"S01006522",68,0.865802890419911
"S01006523",60,0.763943726841098
"S01006524",20,0.254647908947033
"S01006525",14,0.178253536262923
"S01006526",186,2.3682255532074
"S01006527",188,2.39369034410211
"S01006528",198,2.52101429857562
"S01006529",207,2.63560585760179
"S01006530",204,2.59740867125973
"S01006531",201,2.55921148491768
"S01006532",207,2.63560585760179
"S01006533",208,2.64833825304914
"S01006534",209,2.66107064849649
"S01006535",208,2.64833825304914
"S01006536",210,2.67380304394384
"S01006537",191,2.43188753044416
"S01006538",198,2.52101429857562
"S01006539",207,2.63560585760179
"S01006540",205,2.61014106670708
"S01006541",205,2.61014106670708
"S01006542",187,2.38095794865475
"S01006543",186,2.3682255532074
"S01006544",207,2.63560585760179
"S01006545",208,2.64833825304914
"S01006546",205,2.61014106670708
"S01006547",177,2.25363399418124
"S01006548",187,2.38095794865475
"S01006549",205,2.61014106670708
"S01006550",191,2.43188753044416
"S01006551",187,2.38095794865475
"S01006552",193,2.45735232133886
"S01006553",205,2.61014106670708
"S01006554",206,2.62287346215443
"S01006555",191,2.43188753044416
"S01006556",197,2.50828190312827
"S01006557",178,2.26636638962859
"S01006558",212,2.69926783483854
"S01006559",210,2.67380304394384
"S01006560",209,2.66107064849649
"S01006561",211,2.68653543939119
"S01006562",208,2.64833825304914
"S01006563",212,2.69926783483854
"S01006564",213,2.7120002302859
"S01006565",215,2.7374650211806
"S01006566",214,2.72473262573325
"S01006567",214,2.72473262573325
"S01006568",212,2.69926783483854
"S01006569",212,2.69926783483854
"S01006570",210,2.67380304394384
