"CODE","800alcoholBoth2012count","800alcoholBoth2012density"
"S01006506",5,2.48679598581086
"S01006507",2,0.994718394324346
"S01006508",2,0.994718394324346
"S01006509",4,1.98943678864869
"S01006510",4,1.98943678864869
"S01006511",4,1.98943678864869
"S01006512",0,0
"S01006513",0,0
"S01006514",0,0
"S01006515",0,0
"S01006516",0,0
"S01006517",0,0
"S01006518",2,0.994718394324346
"S01006519",2,0.994718394324346
"S01006520",0,0
"S01006521",2,0.994718394324346
"S01006522",1,0.497359197162173
"S01006523",1,0.497359197162173
"S01006524",1,0.497359197162173
"S01006525",2,0.994718394324346
"S01006526",4,1.98943678864869
"S01006527",3,1.49207759148652
"S01006528",1,0.497359197162173
"S01006529",3,1.49207759148652
"S01006530",2,0.994718394324346
"S01006531",0,0
"S01006532",5,2.48679598581086
"S01006533",2,0.994718394324346
"S01006534",6,2.98415518297304
"S01006535",7,3.48151438013521
"S01006536",14,6.96302876027042
"S01006537",3,1.49207759148652
"S01006538",3,1.49207759148652
"S01006539",3,1.49207759148652
"S01006540",1,0.497359197162173
"S01006541",4,1.98943678864869
"S01006542",1,0.497359197162173
"S01006543",2,0.994718394324346
"S01006544",4,1.98943678864869
"S01006545",4,1.98943678864869
"S01006546",3,1.49207759148652
"S01006547",1,0.497359197162173
"S01006548",1,0.497359197162173
"S01006549",1,0.497359197162173
"S01006550",1,0.497359197162173
"S01006551",2,0.994718394324346
"S01006552",0,0
"S01006553",4,1.98943678864869
"S01006554",6,2.98415518297304
"S01006555",2,0.994718394324346
"S01006556",5,2.48679598581086
"S01006557",2,0.994718394324346
"S01006558",2,0.994718394324346
"S01006559",6,2.98415518297304
"S01006560",3,1.49207759148652
"S01006561",1,0.497359197162173
"S01006562",6,2.98415518297304
"S01006563",1,0.497359197162173
"S01006564",47,23.3758822666221
"S01006565",46,22.87852306946
"S01006566",13,6.46566956310825
"S01006567",33,16.4128535063517
"S01006568",19,9.44982474608129
"S01006569",6,2.98415518297304
"S01006570",8,3.97887357729738
"S01006571",10,4.97359197162173
"S01006572",4,1.98943678864869
"S01006573",6,2.98415518297304
"S01006574",7,3.48151438013521
"S01006575",6,2.98415518297304
"S01006576",15,7.46038795743259
"S01006577",9,4.47623277445956
"S01006578",20,9.94718394324346
"S01006579",25,12.4339799290543
"S01006580",16,7.95774715459477
"S01006581",6,2.98415518297304
"S01006582",60,29.8415518297304
"S01006583",35,17.4075719006761
"S01006584",42,20.8890862808113
"S01006585",48,23.8732414637843
"S01006586",75,37.301939787163
"S01006587",70,34.8151438013521
"S01006588",76,37.7992989843251
"S01006589",62,30.8362702240547
"S01006590",67,33.3230662098656
"S01006591",55,27.3547558439195
"S01006592",15,7.46038795743259
"S01006593",38,18.8996494921626
"S01006594",15,7.46038795743259
"S01006595",30,14.9207759148652
"S01006596",32,15.9154943091895
"S01006597",26,12.9313391262165
"S01006598",3,1.49207759148652
"S01006599",4,1.98943678864869
"S01006600",7,3.48151438013521
"S01006601",9,4.47623277445956
"S01006602",5,2.48679598581086
"S01006603",0,0
"S01006604",3,1.49207759148652
"S01006605",2,0.994718394324346
"S01006606",4,1.98943678864869
"S01006607",1,0.497359197162173
"S01006608",0,0
"S01006609",2,0.994718394324346
"S01006610",1,0.497359197162173
"S01006611",2,0.994718394324346
"S01006612",0,0
"S01006613",0,0
"S01006614",1,0.497359197162173
"S01006615",0,0
"S01006616",2,0.994718394324346
"S01006617",2,0.994718394324346
"S01006618",1,0.497359197162173
"S01006619",2,0.994718394324346
"S01006620",1,0.497359197162173
"S01006621",1,0.497359197162173
"S01006622",1,0.497359197162173
"S01006623",2,0.994718394324346
"S01006624",5,2.48679598581086
"S01006625",3,1.49207759148652
"S01006626",4,1.98943678864869
"S01006627",6,2.98415518297304
"S01006628",6,2.98415518297304
"S01006629",1,0.497359197162173
"S01006630",1,0.497359197162173
"S01006631",2,0.994718394324346
"S01006632",5,2.48679598581086
"S01006633",1,0.497359197162173
"S01006634",2,0.994718394324346
"S01006635",3,1.49207759148652
"S01006636",2,0.994718394324346
"S01006637",41,20.3917270836491
"S01006638",31,15.4181351120274
"S01006639",51,25.3653190552708
"S01006640",23,11.43926153473
"S01006641",17,8.45510635175694
"S01006642",32,15.9154943091895
"S01006643",17,8.45510635175694
"S01006644",5,2.48679598581086
"S01006645",34,16.9102127035139
"S01006646",66,32.8257070127034
"S01006647",59,29.3441926325682
"S01006648",68,33.8204254070278
"S01006649",14,6.96302876027042
"S01006650",8,3.97887357729738
"S01006651",10,4.97359197162173
"S01006652",20,9.94718394324346
"S01006653",3,1.49207759148652
"S01006654",3,1.49207759148652
"S01006655",1,0.497359197162173
"S01006656",19,9.44982474608129
"S01006657",2,0.994718394324346
"S01006658",9,4.47623277445956
"S01006659",5,2.48679598581086
"S01006660",3,1.49207759148652
"S01006661",8,3.97887357729738
"S01006662",4,1.98943678864869
"S01006663",5,2.48679598581086
"S01006664",8,3.97887357729738
"S01006665",6,2.98415518297304
"S01006666",5,2.48679598581086
"S01006667",7,3.48151438013521
"S01006668",5,2.48679598581086
"S01006669",6,2.98415518297304
"S01006670",5,2.48679598581086
"S01006671",6,2.98415518297304
"S01006672",6,2.98415518297304
"S01006673",6,2.98415518297304
"S01006674",5,2.48679598581086
"S01006675",5,2.48679598581086
"S01006676",4,1.98943678864869
"S01006677",4,1.98943678864869
"S01006678",4,1.98943678864869
"S01006679",7,3.48151438013521
"S01006680",6,2.98415518297304
"S01006681",3,1.49207759148652
"S01006682",7,3.48151438013521
"S01006683",5,2.48679598581086
"S01006684",6,2.98415518297304
"S01006685",5,2.48679598581086
"S01006686",4,1.98943678864869
"S01006687",6,2.98415518297304
"S01006688",1,0.497359197162173
"S01006689",5,2.48679598581086
"S01006690",7,3.48151438013521
"S01006691",3,1.49207759148652
"S01006692",4,1.98943678864869
"S01006693",6,2.98415518297304
"S01006694",5,2.48679598581086
"S01006695",2,0.994718394324346
"S01006696",2,0.994718394324346
"S01006697",2,0.994718394324346
"S01006698",1,0.497359197162173
"S01006699",1,0.497359197162173
"S01006700",1,0.497359197162173
"S01006701",3,1.49207759148652
"S01006702",1,0.497359197162173
"S01006703",5,2.48679598581086
"S01006704",2,0.994718394324346
"S01006705",5,2.48679598581086
"S01006706",6,2.98415518297304
"S01006707",6,2.98415518297304
"S01006708",3,1.49207759148652
"S01006709",2,0.994718394324346
"S01006710",2,0.994718394324346
"S01006711",2,0.994718394324346
"S01006712",3,1.49207759148652
"S01006713",1,0.497359197162173
"S01006714",1,0.497359197162173
"S01006715",2,0.994718394324346
"S01006716",1,0.497359197162173
"S01006717",3,1.49207759148652
"S01006718",0,0
"S01006719",1,0.497359197162173
"S01006720",1,0.497359197162173
"S01006721",1,0.497359197162173
"S01006722",1,0.497359197162173
"S01006723",2,0.994718394324346
"S01006724",2,0.994718394324346
"S01006725",2,0.994718394324346
"S01006726",2,0.994718394324346
"S01006727",1,0.497359197162173
"S01006728",2,0.994718394324346
"S01006729",3,1.49207759148652
"S01006730",2,0.994718394324346
"S01006731",2,0.994718394324346
"S01006732",0,0
"S01006733",0,0
"S01006734",0,0
"S01006735",0,0
"S01006736",0,0
"S01006737",1,0.497359197162173
"S01006738",3,1.49207759148652
"S01006739",4,1.98943678864869
"S01006740",5,2.48679598581086
"S01006741",2,0.994718394324346
"S01006742",1,0.497359197162173
"S01006743",5,2.48679598581086
"S01006744",6,2.98415518297304
"S01006745",7,3.48151438013521
"S01006746",2,0.994718394324346
"S01006747",3,1.49207759148652
"S01006748",2,0.994718394324346
"S01006749",3,1.49207759148652
"S01006750",1,0.497359197162173
"S01006751",3,1.49207759148652
"S01006752",3,1.49207759148652
"S01006753",3,1.49207759148652
"S01006754",3,1.49207759148652
"S01006755",2,0.994718394324346
"S01006756",7,3.48151438013521
"S01006757",0,0
"S01006758",0,0
"S01006759",2,0.994718394324346
"S01006760",0,0
"S01006761",0,0
"S01006762",1,0.497359197162173
"S01006763",0,0
"S01006764",0,0
"S01006765",0,0
"S01006766",0,0
"S01006767",1,0.497359197162173
"S01006768",2,0.994718394324346
"S01006769",2,0.994718394324346
"S01006770",1,0.497359197162173
"S01006771",1,0.497359197162173
"S01006772",1,0.497359197162173
"S01006773",1,0.497359197162173
"S01006774",1,0.497359197162173
"S01006775",1,0.497359197162173
"S01006776",2,0.994718394324346
"S01006777",2,0.994718394324346
"S01006778",2,0.994718394324346
"S01006779",6,2.98415518297304
"S01006780",4,1.98943678864869
"S01006781",2,0.994718394324346
"S01006782",5,2.48679598581086
"S01006783",5,2.48679598581086
"S01006784",5,2.48679598581086
"S01006785",1,0.497359197162173
"S01006786",1,0.497359197162173
"S01006787",1,0.497359197162173
"S01006788",2,0.994718394324346
"S01006789",7,3.48151438013521
"S01006790",7,3.48151438013521
"S01006791",0,0
"S01006792",0,0
"S01006793",2,0.994718394324346
"S01006794",1,0.497359197162173
"S01006795",2,0.994718394324346
"S01006796",0,0
"S01006797",0,0
"S01006798",1,0.497359197162173
"S01006799",1,0.497359197162173
"S01006800",0,0
"S01006801",2,0.994718394324346
"S01006802",1,0.497359197162173
"S01006803",2,0.994718394324346
"S01006804",3,1.49207759148652
"S01006805",3,1.49207759148652
"S01006806",0,0
"S01006807",0,0
"S01006808",0,0
"S01006809",0,0
"S01006810",2,0.994718394324346
"S01006811",0,0
"S01006812",1,0.497359197162173
"S01006813",1,0.497359197162173
"S01006814",4,1.98943678864869
"S01006815",4,1.98943678864869
"S01006816",4,1.98943678864869
"S01006817",0,0
"S01006818",1,0.497359197162173
"S01006819",0,0
"S01006820",0,0
"S01006821",0,0
"S01006822",0,0
"S01006823",1,0.497359197162173
"S01006824",1,0.497359197162173
"S01006825",1,0.497359197162173
"S01006826",1,0.497359197162173
"S01006827",5,2.48679598581086
"S01006828",7,3.48151438013521
"S01006829",2,0.994718394324346
"S01006830",1,0.497359197162173
"S01006831",1,0.497359197162173
"S01006832",5,2.48679598581086
"S01006833",6,2.98415518297304
"S01006834",0,0
"S01006835",8,3.97887357729738
"S01006836",1,0.497359197162173
"S01006837",0,0
"S01006838",1,0.497359197162173
"S01006839",1,0.497359197162173
"S01006840",1,0.497359197162173
"S01006841",1,0.497359197162173
"S01006842",3,1.49207759148652
"S01006843",1,0.497359197162173
"S01006844",1,0.497359197162173
"S01006845",1,0.497359197162173
"S01006846",1,0.497359197162173
"S01006847",2,0.994718394324346
"S01006848",0,0
"S01006849",1,0.497359197162173
"S01006850",2,0.994718394324346
"S01006851",2,0.994718394324346
"S01006852",1,0.497359197162173
"S01006853",0,0
"S01006854",1,0.497359197162173
"S01006855",0,0
"S01006856",1,0.497359197162173
"S01006857",0,0
"S01006858",0,0
"S01006859",2,0.994718394324346
"S01006860",3,1.49207759148652
"S01006861",2,0.994718394324346
"S01006862",3,1.49207759148652
"S01006863",2,0.994718394324346
"S01006864",2,0.994718394324346
"S01006865",8,3.97887357729738
"S01006866",8,3.97887357729738
"S01006867",8,3.97887357729738
"S01006868",4,1.98943678864869
"S01006869",0,0
"S01006870",2,0.994718394324346
"S01006871",2,0.994718394324346
"S01006872",0,0
"S01006873",0,0
"S01006874",0,0
"S01006875",2,0.994718394324346
"S01006876",2,0.994718394324346
"S01006877",0,0
"S01006878",1,0.497359197162173
"S01006879",0,0
"S01006880",0,0
"S01006881",0,0
