"CODE","800alcoholOff2012count","800alcoholOff2012density"
"S01006506",4,1.98943678864869
"S01006507",3,1.49207759148652
"S01006508",3,1.49207759148652
"S01006509",4,1.98943678864869
"S01006510",4,1.98943678864869
"S01006511",4,1.98943678864869
"S01006512",0,0
"S01006513",0,0
"S01006514",0,0
"S01006515",0,0
"S01006516",0,0
"S01006517",4,1.98943678864869
"S01006518",1,0.497359197162173
"S01006519",1,0.497359197162173
"S01006520",0,0
"S01006521",0,0
"S01006522",5,2.48679598581086
"S01006523",5,2.48679598581086
"S01006524",5,2.48679598581086
"S01006525",1,0.497359197162173
"S01006526",2,0.994718394324346
"S01006527",3,1.49207759148652
"S01006528",5,2.48679598581086
"S01006529",4,1.98943678864869
"S01006530",4,1.98943678864869
"S01006531",5,2.48679598581086
"S01006532",4,1.98943678864869
"S01006533",5,2.48679598581086
"S01006534",7,3.48151438013521
"S01006535",9,4.47623277445956
"S01006536",14,6.96302876027042
"S01006537",3,1.49207759148652
"S01006538",3,1.49207759148652
"S01006539",6,2.98415518297304
"S01006540",5,2.48679598581086
"S01006541",4,1.98943678864869
"S01006542",3,1.49207759148652
"S01006543",2,0.994718394324346
"S01006544",5,2.48679598581086
"S01006545",6,2.98415518297304
"S01006546",4,1.98943678864869
"S01006547",3,1.49207759148652
"S01006548",1,0.497359197162173
"S01006549",3,1.49207759148652
"S01006550",4,1.98943678864869
"S01006551",3,1.49207759148652
"S01006552",6,2.98415518297304
"S01006553",5,2.48679598581086
"S01006554",6,2.98415518297304
"S01006555",5,2.48679598581086
"S01006556",8,3.97887357729738
"S01006557",3,1.49207759148652
"S01006558",9,4.47623277445956
"S01006559",9,4.47623277445956
"S01006560",6,2.98415518297304
"S01006561",3,1.49207759148652
"S01006562",4,1.98943678864869
"S01006563",2,0.994718394324346
"S01006564",30,14.9207759148652
"S01006565",35,17.4075719006761
"S01006566",22,10.9419023375678
"S01006567",30,14.9207759148652
"S01006568",22,10.9419023375678
"S01006569",14,6.96302876027042
"S01006570",12,5.96831036594608
"S01006571",16,7.95774715459477
"S01006572",4,1.98943678864869
"S01006573",7,3.48151438013521
"S01006574",6,2.98415518297304
"S01006575",8,3.97887357729738
"S01006576",16,7.95774715459477
"S01006577",10,4.97359197162173
